Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
Exotic Wings Chicken & Things,Chong,Kang,1254 Center Point Pkwy,Birmingham,AL,(205) 856-2900,Restaurants,Restaurants,,"$345,000 ",Birmingham,1254 Center Point Pkwy,33.61667625,-86.68605488398737
Huntsville Hospital Physician,Heeeun,Kang,44 Hughes Rd # 1200,Madison,AL,(256) 265-5970,Physicians & Surgeons,Physicians & Surgeons,,"$734,000 ",Huntsville,44 Hughes Rd,34.691088,-86.735355
Lotte Chemical,Richard,Kang,765 W Veterans Blvd,Auburn,AL,(334) 826-0094,Chemicals-Manufacturers,Chemicals-Manufacturers,,"$632,000 ",Auburn-Oplka,765 W Veterans Blvd,32.561259,-85.509341
Mccorquodale Transfer Inc,Dong,Kang,2714 2nd Ave N,Birmingham,AL,(205) 969-0113,Storage-Household & Commercial,Storage-Household & Commercial,Delivery Service,"$10,820,000 ",Birmingham,2714 2nd Ave N,33.52135,-86.793737
One Solutions,Min,Kang,36 Samford Ave # D,Opelika,AL,(334) 737-6026,Personnel Consultants,Personnel Consultants,Employment Agencies & Opportunities,"$142,000 ",Auburn-Oplka,36 Samford Ave,32.65778337622675,-85.37238697773275
Oriental Food & Gifts Of Choi,Wol,Kang,402 Jordan Ln NW,Huntsville,AL,(256) 533-9118,Oriental Goods,Oriental Goods,Grocers-Retail,"$125,000 ",Huntsville,402 Jordan Ln NW,34.7243624,-86.6270196
Seung San Pack,Matthew,Kang,3840 Lower Wetumpka Rd,Montgomery,AL,(334) 386-2891,Boxes-Paper (Mfrs),Boxes-Paper (Mfrs),,"$11,297,000 ",Montgomery,3840 Lower Wetumpka Rd,32.43092521212121,-86.28097777777778
Smart Alabama LLC,Ho,Kang,121 Shin Young Dr,Luverne,AL,(334) 335-5800,Metal Goods-Manufacturers,Metal Goods-Manufacturers,Automobile-Manufacturers,"$1,312,000 ",,121 Shin Young Dr,,
Syscon Construction Co,Diane,Kang,1755 E Blue Birds,Montgomery,AL,(334) 281-1520,General Contractors,General Contractors,,"$10,429,000 ",Montgomery,1755 E Blue Birds,,
Tokyo Japanese Steakhouse-Ssh,Koo,Kang,1105 Wayne Rd NW,Huntsville,AL,(256) 217-1719,Restaurants,Restaurants,,"$1,017,000 ",Huntsville,1105 Wayne Rd NW,34.745675,-86.677942
"Go, Rommel MD",Rommel,Go,423 Blount Ave,Guntersville,AL,Not Available,Physicians & Surgeons,Physicians & Surgeons,,"$936,000 ",Albertville,423 Blount Ave,34.358759,-86.292837
Marshall Medical Ctr,Rommel C,Go,603 Medical Center Pkwy,Boaz,AL,(256) 558-6000,Physicians & Surgeons,Physicians & Surgeons,,"$936,000 ",Albertville,603 Medical Center Pkwy,34.2186707,-86.1606977
Hyundia Steel,Kanghee,Ko,200 Team Member Ln,Greenville,AL,(334) 382-9101,Trucking-Motor Freight,Trucking-Motor Freight,Steel Products (Whls),"$17,376,000 ",,200 Team Member Ln,,
Nori Thai & Sushi Restaurant,Chi,Ko,4704 Cahaba River Rd,Vestavia,AL,(205) 970-7570,Restaurants,Restaurants,,"$345,000 ",Birmingham,4704 Cahaba River Rd,33.449983,-86.741348
Seoul Oriental Groceries,Miong,Ko,7908 Memorial Pkwy SW,Huntsville,AL,(256) 650-5911,Oriental Goods,Oriental Goods,,"$125,000 ",Huntsville,7908 Memorial Pkwy SW,34.662163,-86.571204
Sca Inc,Woo,Koh,764 W Veterans Blvd,Auburn,AL,(334) 887-6720,Plastics-Products-Retail,Plastics-Products-Retail,,"$298,000 ",Auburn-Oplka,764 W Veterans Blvd,32.561259,-85.509341
Wig Master,Don,Koh,7201 Aaron Aronov Dr # 18,Fairfield,AL,(205) 929-9997,Wigs Toupees & Hairpieces,Wigs Toupees & Hairpieces,Caps & Hats-Retail,"$377,000 ",Birmingham,7201 Aaron Aronov Dr,33.466011800000004,-86.91213603581332
Bae Systems Plc,Lisa,Kong,2101 W 10th St,Anniston,AL,(256) 237-2841,Aerospace Industries (Mfrs),Aerospace Industries (Mfrs),Steel Works/Blast Furnaces/Rolling Mills,"$115,134,000 ",Anniston,2101 W 10th St,33.657027,-85.857089
Daylight Donuts,Narein,Kong,609 Highland Ave,Selma,AL,(334) 327-6264,Doughnuts,Doughnuts,Coffee Shops,"$73,000 ",Selma,609 Highland Ave,32.43128087007569,-87.03193321507844
Massage Wellness,Ciayua,Kong,3108 Airport Blvd,Mobile,AL,(251) 607-6657,Massage Therapists,Massage Therapists,,"$142,000 ",Mobile,3108 Airport Blvd,30.676375159752382,-88.11478114442616
"KWAK, Young J MD",Young J,Kwak,1720 2nd Ave S # Efh414,Birmingham,AL,(205) 975-6415,Physicians & Surgeons,Physicians & Surgeons,,"$586,000 ",Birmingham,1720 2nd Ave S,33.5117738,-86.8013892
Mando America Corp,Tae,Kwak,4200 N Park Dr,Opelika,AL,(334) 737-3899,Alternators & Generators-Automotive-Mfrs,Alternators & Generators-Automotive-Mfrs,Automobile Parts & Supplies-Retail-New,"$70,183,000 ",Auburn-Oplka,4200 N Park Dr,,
Vestavia Country Club,Yoon,Kwak,400 Beaumont Dr,Vestavia Hills,AL,(205) 823-2451,Clubs,Clubs,Restaurants,"$15,780,000 ",Birmingham,400 Beaumont Dr,33.45382,-86.772775
Chowel Weldparts,James,Koo,5826 Montgomery Hwy,Luverne,AL,(334) 335-3774,Welding Equipment & Supplies (Whls),Welding Equipment & Supplies (Whls),,"$43,808,000 ",,5826 Montgomery Hwy,31.716709,-86.274374
Glovis America,Hyungjoon,Koo,300 Hyundai Blvd,Montgomery,AL,(334) 387-4200,Logistics Consulting Services,Logistics Consulting Services,Automobile Parts & Supplies-Mfrs,"$8,855,000 ",Montgomery,300 Hyundai Blvd,32.277786,-86.326186
Caleb Construction Mgmt LLC,Emmanuel,Ku,2021 10th Ave S,Birmingham,AL,Not Available,Construction Management,Construction Management,,"$830,000 ",Birmingham,2021 10th Ave S,33.50205527965778,-86.79679842736469
Flint River Dental,So Dam,Kwon,2246 Winchester Rd NE # 106,Huntsville,AL,(256) 859-8066,Dentists,Dentists,,"$588,000 ",Huntsville,2246 Winchester Rd NE,34.817836319397436,-86.49099412183952
Hyundai Motor Mfg-Alabama,Chris,Kwon,700 Hyundai Blvd,Montgomery,AL,(334) 387-8000,Automobile-Manufacturers,Automobile-Manufacturers,Automobile & Truck Brokers (Whls),"$416,511,000 ",Montgomery,700 Hyundai Blvd,32.277645667256245,-86.33812842951598
KWON Hae Yoon PT,Hae Y,Kwon,1310 Alford Ave # 102,Hoover,AL,(205) 824-8850,Physical Therapists,Physical Therapists,,$0 ,Birmingham,1310 Alford Ave,33.43327257065983,-86.82224127988077
"KWON, Hangirl",Hangirl,Kwon,10 Veterans Memorial Pkwy,Lanett,AL,(334) 644-2807,Pharmacists,Pharmacists,,$0 ,Lagrange,10 Veterans Memorial Pkwy,32.850994,-85.2046
L L Cleaners,Young,Kwon,100 7th St SW,Cullman,AL,(256) 734-5750,Laundries,Laundries,Pressing Machines-Clothes (Whls),"$327,000 ",Cullman,100 7th St SW,34.1688926,-86.8455251
Sys-CON LLC,Dae,Kwon,4444 Park Blvd,Montgomery,AL,(334) 281-1520,General Contractors,General Contractors,,"$33,025,000 ",Montgomery,4444 Park Blvd,32.33477535816901,-86.23199134139021
1day Auto Tint,John,Kim,4450 University Dr NW,Huntsville,AL,(256) 837-7804,Automotive Glass Coating & Tinting,Automotive Glass Coating & Tinting,Automobile Radio & Stereo Systs-Sls/Svc,"$220,000 ",Huntsville,4450 University Dr NW,34.73491465625,-86.63619419375
A-Tech Dental Lab Inc,Jack,Kim,5609 Cahaba Glen Cir,Birmingham,AL,(205) 956-5070,Laboratories-Dental,Laboratories-Dental,,"$822,000 ",Birmingham,5609 Cahaba Glen Cir,,
Adaptt Chiropractic & Wellness,John,Kim,5092 Cahaba Valley Rd,Birmingham,AL,(205) 981-8081,Health Care Facilities,Health Care Facilities,Skin Treatments,"$1,989,000 ",Birmingham,5092 Cahaba Valley Rd,33.4478561,-86.6550437
Alabama Real Estate Solutions,Shindorf,Kim,218 S Madison St,Athens,AL,(256) 233-3400,Real Estate,Real Estate,,"$1,138,000 ",Huntsville,218 S Madison St,34.80218444897959,-86.973472
Altadena Valley Presbyterian,Ron,Kim,4660 Caldwell Mill Rd,Vestavia,AL,(205) 967-0680,Churches,Churches,,$0 ,Birmingham,4660 Caldwell Mill Rd,33.42656683333333,-86.73571933333334
Alterations & Designs By Hong,Hong,Kim,104 Tazewell Ct,Dothan,AL,(334) 798-3195,Alterations-Clothing,Alterations-Clothing,,"$126,000 ",Dothan,104 Tazewell Ct,31.223251308361796,-85.46521763304347
American Deli,Jangwook,Kim,2230 Sparkman Dr NW # 300,Huntsville,AL,(256) 858-0900,Restaurants,Restaurants,Foods-Carry Out,"$204,000 ",Huntsville,2230 Sparkman Dr NW,34.76317012596164,-86.59462062123468
American Deli,Kyong,Kim,1680 Montclair Rd # 400,Irondale,AL,(205) 956-4421,Restaurants,Restaurants,Foods-Carry Out,"$99,000 ",Birmingham,1680 Montclair Rd,33.529387,-86.712694
American Osment,Sunny,Kim,2923 5th Ave S,Birmingham,AL,(205) 326-3456,Janitors Equipment/Supplies (Whls),Janitors Equipment/Supplies (Whls),Carpet & Rug Cleaning Equip/Supls (Whls),$0 ,Birmingham,2923 5th Ave S,33.514162408163266,-86.78863475510204
American Osment,Sunny,Kim,1120 Emory Folmar Blvd,Montgomery,AL,(334) 269-4309,Janitors Equipment/Supplies (Whls),Janitors Equipment/Supplies (Whls),Industrial Inorganic Chmcls NEC (Mfrs),"$13,917,000 ",Montgomery,1120 Emory Folmar Blvd,32.411703107844936,-86.25723496681479
Beauty City,Sang,Kim,10668 Chantilly Pkwy,Montgomery,AL,(334) 262-0305,Beauty Salons,Beauty Salons,Cosmetics & Perfumes-Retail,"$46,000 ",Montgomery,10668 Chantilly Pkwy,32.3647878,-86.1373485
Beauty Land Beauty Supplies,Charles,Kim,330 S Wilson Ave,Mobile,AL,(251) 452-8484,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,,"$1,016,000 ",Mobile,330 S Wilson Ave,30.7196514,-88.0843232
