Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
Exotic Wings Chicken & Things,Chong,Kang,1254 Center Point Pkwy,Birmingham,AL,(205) 856-2900,Restaurants,Restaurants,,"$345,000 ",Birmingham,1254 Center Point Pkwy,33.61667625,-86.68605488
Huntsville Hospital Physician,Heeeun,Kang,44 Hughes Rd # 1200,Madison,AL,(256) 265-5970,Physicians & Surgeons,Physicians & Surgeons,,"$734,000 ",Huntsville,44 Hughes Rd,34.691088,-86.735355
Lotte Chemical,Richard,Kang,765 W Veterans Blvd,Auburn,AL,(334) 826-0094,Chemicals-Manufacturers,Chemicals-Manufacturers,,"$632,000 ",Auburn-Oplka,765 W Veterans Blvd,32.561259,-85.509341
Mccorquodale Transfer Inc,Dong,Kang,2714 2nd Ave N,Birmingham,AL,(205) 969-0113,Storage-Household & Commercial,Storage-Household & Commercial,Delivery Service,"$10,820,000 ",Birmingham,2714 2nd Ave N,33.52135,-86.793737
One Solutions,Min,Kang,36 Samford Ave # D,Opelika,AL,(334) 737-6026,Personnel Consultants,Personnel Consultants,Employment Agencies & Opportunities,"$142,000 ",Auburn-Oplka,36 Samford Ave,32.65778338,-85.37238698
Oriental Food & Gifts Of Choi,Wol,Kang,402 Jordan Ln NW,Huntsville,AL,(256) 533-9118,Oriental Goods,Oriental Goods,Grocers-Retail,"$125,000 ",Huntsville,402 Jordan Ln NW,34.7243624,-86.6270196
Seung San Pack,Matthew,Kang,3840 Lower Wetumpka Rd,Montgomery,AL,(334) 386-2891,Boxes-Paper (Mfrs),Boxes-Paper (Mfrs),,"$11,297,000 ",Montgomery,3840 Lower Wetumpka Rd,32.43092521,-86.28097778
Smart Alabama LLC,Ho,Kang,121 Shin Young Dr,Luverne,AL,(334) 335-5800,Metal Goods-Manufacturers,Metal Goods-Manufacturers,Automobile-Manufacturers,"$1,312,000 ",,121 Shin Young Dr,,
Syscon Construction Co,Diane,Kang,1755 E Blue Birds,Montgomery,AL,(334) 281-1520,General Contractors,General Contractors,,"$10,429,000 ",Montgomery,1755 E Blue Birds,,
Tokyo Japanese Steakhouse-Ssh,Koo,Kang,1105 Wayne Rd NW,Huntsville,AL,(256) 217-1719,Restaurants,Restaurants,,"$1,017,000 ",Huntsville,1105 Wayne Rd NW,34.745675,-86.677942
"Go, Rommel MD",Rommel,Go,423 Blount Ave,Guntersville,AL,Not Available,Physicians & Surgeons,Physicians & Surgeons,,"$936,000 ",Albertville,423 Blount Ave,34.358759,-86.292837
Marshall Medical Ctr,Rommel C,Go,603 Medical Center Pkwy,Boaz,AL,(256) 558-6000,Physicians & Surgeons,Physicians & Surgeons,,"$936,000 ",Albertville,603 Medical Center Pkwy,34.2186707,-86.1606977
Hyundia Steel,Kanghee,Ko,200 Team Member Ln,Greenville,AL,(334) 382-9101,Trucking-Motor Freight,Trucking-Motor Freight,Steel Products (Whls),"$17,376,000 ",,200 Team Member Ln,,
Nori Thai & Sushi Restaurant,Chi,Ko,4704 Cahaba River Rd,Vestavia,AL,(205) 970-7570,Restaurants,Restaurants,,"$345,000 ",Birmingham,4704 Cahaba River Rd,33.449983,-86.741348
Seoul Oriental Groceries,Miong,Ko,7908 Memorial Pkwy SW,Huntsville,AL,(256) 650-5911,Oriental Goods,Oriental Goods,,"$125,000 ",Huntsville,7908 Memorial Pkwy SW,34.662163,-86.571204
Sca Inc,Woo,Koh,764 W Veterans Blvd,Auburn,AL,(334) 887-6720,Plastics-Products-Retail,Plastics-Products-Retail,,"$298,000 ",Auburn-Oplka,764 W Veterans Blvd,32.561259,-85.509341
Wig Master,Don,Koh,7201 Aaron Aronov Dr # 18,Fairfield,AL,(205) 929-9997,Wigs Toupees & Hairpieces,Wigs Toupees & Hairpieces,Caps & Hats-Retail,"$377,000 ",Birmingham,7201 Aaron Aronov Dr,33.4660118,-86.91213604
Bae Systems Plc,Lisa,Kong,2101 W 10th St,Anniston,AL,(256) 237-2841,Aerospace Industries (Mfrs),Aerospace Industries (Mfrs),Steel Works/Blast Furnaces/Rolling Mills,"$115,134,000 ",Anniston,2101 W 10th St,33.657027,-85.857089
Daylight Donuts,Narein,Kong,609 Highland Ave,Selma,AL,(334) 327-6264,Doughnuts,Doughnuts,Coffee Shops,"$73,000 ",Selma,609 Highland Ave,32.43128087,-87.03193322
Massage Wellness,Ciayua,Kong,3108 Airport Blvd,Mobile,AL,(251) 607-6657,Massage Therapists,Massage Therapists,,"$142,000 ",Mobile,3108 Airport Blvd,30.67637516,-88.11478114
"KWAK, Young J MD",Young J,Kwak,1720 2nd Ave S # Efh414,Birmingham,AL,(205) 975-6415,Physicians & Surgeons,Physicians & Surgeons,,"$586,000 ",Birmingham,1720 2nd Ave S,33.5117738,-86.8013892
Mando America Corp,Tae,Kwak,4200 N Park Dr,Opelika,AL,(334) 737-3899,Alternators & Generators-Automotive-Mfrs,Alternators & Generators-Automotive-Mfrs,Automobile Parts & Supplies-Retail-New,"$70,183,000 ",Auburn-Oplka,4200 N Park Dr,,
Vestavia Country Club,Yoon,Kwak,400 Beaumont Dr,Vestavia Hills,AL,(205) 823-2451,Clubs,Clubs,Restaurants,"$15,780,000 ",Birmingham,400 Beaumont Dr,33.45382,-86.772775
Chowel Weldparts,James,Koo,5826 Montgomery Hwy,Luverne,AL,(334) 335-3774,Welding Equipment & Supplies (Whls),Welding Equipment & Supplies (Whls),,"$43,808,000 ",,5826 Montgomery Hwy,31.716709,-86.274374
Glovis America,Hyungjoon,Koo,300 Hyundai Blvd,Montgomery,AL,(334) 387-4200,Logistics Consulting Services,Logistics Consulting Services,Automobile Parts & Supplies-Mfrs,"$8,855,000 ",Montgomery,300 Hyundai Blvd,32.277786,-86.326186
Caleb Construction Mgmt LLC,Emmanuel,Ku,2021 10th Ave S,Birmingham,AL,Not Available,Construction Management,Construction Management,,"$830,000 ",Birmingham,2021 10th Ave S,33.50205528,-86.79679843
Flint River Dental,So Dam,Kwon,2246 Winchester Rd NE # 106,Huntsville,AL,(256) 859-8066,Dentists,Dentists,,"$588,000 ",Huntsville,2246 Winchester Rd NE,34.81783632,-86.49099412
Hyundai Motor Mfg-Alabama,Chris,Kwon,700 Hyundai Blvd,Montgomery,AL,(334) 387-8000,Automobile-Manufacturers,Automobile-Manufacturers,Automobile & Truck Brokers (Whls),"$416,511,000 ",Montgomery,700 Hyundai Blvd,32.27764567,-86.33812843
KWON Hae Yoon PT,Hae Y,Kwon,1310 Alford Ave # 102,Hoover,AL,(205) 824-8850,Physical Therapists,Physical Therapists,,$0 ,Birmingham,1310 Alford Ave,33.43327257,-86.82224128
"KWON, Hangirl",Hangirl,Kwon,10 Veterans Memorial Pkwy,Lanett,AL,(334) 644-2807,Pharmacists,Pharmacists,,$0 ,Lagrange,10 Veterans Memorial Pkwy,32.850994,-85.2046
L L Cleaners,Young,Kwon,100 7th St SW,Cullman,AL,(256) 734-5750,Laundries,Laundries,Pressing Machines-Clothes (Whls),"$327,000 ",Cullman,100 7th St SW,34.1688926,-86.8455251
Sys-CON LLC,Dae,Kwon,4444 Park Blvd,Montgomery,AL,(334) 281-1520,General Contractors,General Contractors,,"$33,025,000 ",Montgomery,4444 Park Blvd,32.33477536,-86.23199134
1day Auto Tint,John,Kim,4450 University Dr NW,Huntsville,AL,(256) 837-7804,Automotive Glass Coating & Tinting,Automotive Glass Coating & Tinting,Automobile Radio & Stereo Systs-Sls/Svc,"$220,000 ",Huntsville,4450 University Dr NW,34.73491466,-86.63619419
A-Tech Dental Lab Inc,Jack,Kim,5609 Cahaba Glen Cir,Birmingham,AL,(205) 956-5070,Laboratories-Dental,Laboratories-Dental,,"$822,000 ",Birmingham,5609 Cahaba Glen Cir,,
Adaptt Chiropractic & Wellness,John,Kim,5092 Cahaba Valley Rd,Birmingham,AL,(205) 981-8081,Health Care Facilities,Health Care Facilities,Skin Treatments,"$1,989,000 ",Birmingham,5092 Cahaba Valley Rd,33.4478561,-86.6550437
