Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
Atlantic Partners,David,Gang,6001 Brkn Snd Pkwy NW # 506,Boca Raton,FL,(561) 912-9363,Employment Agencies & Opportunities,Employment Agencies & Opportunities,,"$659,000 ",Miami-Ft Ldr,6001 Brkn Snd Pkwy NW,,
Bay Area Apartment Assn,Nena,Gang,19031 N Dale Mabry Hwy,Lutz,FL,(813) 882-0222,Management Services,Management Services,Non-Profit Organizations,"$1,122,000 ",Tampa,19031 N Dale Mabry Hwy,28.1528203,-82.4899885
Bonacini Inc,Xiao,Gang,13874 SW 90th Ave,Miami,FL,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Miami-Ft Ldr,13874 SW 90th Ave,25.6399331,-80.3391356
Disabled Vet Resource Ctr,Eric,Gang,683 Jamestown Blvd # 2016,Altamonte Springs,FL,Not Available,Disability Services,Disability Services,,$0 ,Orlando,683 Jamestown Blvd,28.681362999999997,-81.4111825
Electrical Council Of Florida,Nena,Gang,19031 N Dale Mabry Hwy,Lutz,FL,(813) 885-9605,Associations,Associations,Electric Contractors,$0 ,Tampa,19031 N Dale Mabry Hwy,28.1528203,-82.4899885
Gang Way Realty,Jack,Gang,115 Tamiami Trl N,Nokomis,FL,(941) 412-4205,Real Estate,Real Estate,,$0 ,North Port,115 Tamiami Trl N,,
"Gang, Bradley W Do",Bradley W,Gang,655 W 8th St,Jacksonville,FL,(904) 244-3237,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Jacksonville,655 W 8th St,30.3484582,-81.66491490988216
"Gang, Rachelle",Rachelle,Gang,885 Sedalia St # 100,Ocoee,FL,(407) 294-2994,Nurses-Practitioners,Nurses-Practitioners,,$0 ,Orlando,885 Sedalia St,28.554014874926082,-81.53109476244883
GMS Group LLC,Nena,Gang,6107 Memorial Hwy # B,Tampa,FL,(813) 885-4641,Real Estate Management,Real Estate Management,Association Management,"$412,000 ",Tampa,6107 Memorial Hwy,27.9740764,-82.5499394
Greenberg Traurig,Robert C,Gang,333 SE 2nd Ave # 4400,Miami,FL,(305) 579-0886,Attorneys,Attorneys,,"$414,000 ",Miami-Ft Ldr,333 SE 2nd Ave,25.771516551020408,-80.19002132653061
Human Resource Mgmt Ctr Inc,Gary,Gang,4012 Gunn Hwy # 120,Tampa,FL,(813) 879-4200,Business Management Consultants,Business Management Consultants,Federal Government Contractors,"$11,995,000 ",Tampa,4012 Gunn Hwy,,
MGJ Inc,Mindy,Gang,5151 NE 18th Ave # 3,Fort Lauderdale,FL,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Miami-Ft Ldr,5151 NE 18th Ave,26.192353854103892,-80.12286379768145
Protoo Call Carpet Cleaning,Gary,Gang,PO Box 404,Osteen,FL,(407) 324-1147,Carpet & Rug Cleaners,Carpet & Rug Cleaners,Water Damage Restoration,"$143,000 ",Deltona,PO Box 404,,
Protoocall Carpet Cleaning,Gary,Gang,3145 Overdale St,Deltona,FL,(386) 453-7228,Carpet & Rug Cleaners,Carpet & Rug Cleaners,Home Improvements,"$72,000 ",Deltona,3145 Overdale St,28.8826536,-81.176342
SAFCO,Kenneth,Gang,6700 N Andrews Ave # 5,Fort Lauderdale,FL,(954) 497-1000,Financing,Financing,,"$3,017,000 ",Miami-Ft Ldr,6700 N Andrews Ave,26.20965429290386,-80.14263057569471
Yokohama Sushi,Miao,Gang,9168 Glades Rd,Boca Raton,FL,(561) 451-1707,Restaurants,Restaurants,,"$211,000 ",Miami-Ft Ldr,9168 Glades Rd,26.3682612,-80.1227904
4-U Beauty Supplies,Pen,Kang,7942 W Sample Rd,Margate,FL,(954) 340-3181,Beauty Salons-Equipment & Supplies (Whls),Beauty Salons-Equipment & Supplies (Whls),Cosmetics & Perfumes-Retail,"$1,635,000 ",Miami-Ft Ldr,7942 W Sample Rd,26.2739672,-80.1929272
A & M Kang LLC,Min,Kang,23446 Links Dr,Brooksville,FL,Not Available,Attorneys,Attorneys,,"$309,000 ",Tampa,23446 Links Dr,28.5683695,-82.3463121330591
Ahk Group LLC,Albert,Kang,3049 Lindale Ave,Orlando,FL,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Orlando,3049 Lindale Ave,28.57915767348837,-81.31835195628695
Alliance Medical Assoc-Ocala,M W,Kang,1800 SE 17th St # 800,Ocala,FL,(352) 622-7268,Physicians & Surgeons,Physicians & Surgeons,,"$493,000 ",Ocala,1800 SE 17th St,29.1715841,-82.117266
Amura Longwood,Mi Ryung,Kang,950 Market Promenade Ave # 121,Lake Mary,FL,(407) 936-6001,Restaurants,Restaurants,,"$238,000 ",Orlando,950 Market Promenade Ave,,
Anchor Capital Management LLC,Albert,Kang,5346 Kumquat Loop,Windermere,FL,Not Available,Management Services,Management Services,,"$235,000 ",Orlando,5346 Kumquat Loop,,
Brandon Oriental Market,Josh,Kang,112 Pauls Dr,Brandon,FL,(813) 661-8862,Grocers-Retail,Grocers-Retail,,"$1,174,000 ",Tampa,112 Pauls Dr,27.93740881632653,-82.30217877551021
Carebidet LLC,Eliot,Kang,7901 4th St N # 300,Saint Petersburg,FL,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Tampa,7901 4th St N,27.8443962,-82.638235
Claire Kaine,Haijun,Kang,5349 Ashton Manor Dr,Sarasota,FL,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,North Port,5349 Ashton Manor Dr,27.275660810679582,-82.46090128932482
Cold Stone Creamery,Charlie,Kang,944 Colonial Grand Ln,Lake Mary,FL,(407) 833-0320,Ice Cream Parlors,Ice Cream Parlors,Ice Cream Freezers (Whls),"$902,000 ",Orlando,944 Colonial Grand Ln,,
