Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
Idc Construction LLC,Karyn,Gang,1000 Churchill Ct,Woodstock,GA,(678) 213-1110,General Contractors,General Contractors,,"$8,896,000 ",Atl-Ss-Rswl,1000 Churchill Ct,,
Personal Foot-Ankle SPCLST PC,Chuy,Gang,1240 GA Highway 15 N,Sandersville,GA,(478) 552-1086,Physicians & Surgeons,Physicians & Surgeons,,"$530,000 ",,1240 GA Highway 15 N,,
Phoenix Renovations Group,Richard,Gang,2870 Peachtree Rd NW # 429,Atlanta,GA,(404) 812-9914,Remodeling & Repairing Building Contractors,Remodeling & Repairing Building Contractors,General Contractors,"$890,000 ",Atl-Ss-Rswl,2870 Peachtree Rd NW,,
A-1 Uniforms & Embroidery,Linda,Kang,7601 Waters Ave # G,Savannah,GA,(912) 692-0711,Business Services NEC,Business Services NEC,Uniforms & Accessories,"$241,000 ",Savannah,7601 Waters Ave,32.003238,-81.10224
A1 Uniforms,Linda,Kang,7601 Waters Ave # G,Savannah,GA,(912) 692-0711,Uniforms & Accessories,Uniforms & Accessories,,"$963,000 ",Savannah,7601 Waters Ave,32.003238,-81.10224
Abba Martial Arts,Il Seob,Kang,303 Kelly Dr # 10,Peachtree City,GA,(678) 545-1889,Martial Arts Instruction,Martial Arts Instruction,,"$142,000 ",Atl-Ss-Rswl,303 Kelly Dr,33.381324,-84.581122
Abia International LLC,Il J,Kang,6598 Pierless Ave,Sugar Hill,GA,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Atl-Ss-Rswl,6598 Pierless Ave,34.13626698520833,-84.06424749858644
Ad Victoriam Solutions,Janet,Kang,6525 Shiloh Rd # D-300,Alpharetta,GA,(770) 691-1642,Website Design Service,Website Design Service,,"$1,157,000 ",Atl-Ss-Rswl,6525 Shiloh Rd,,
AJC International Inc,Hojin,Kang,1000 Abernathy Rd # 600,Atlanta,GA,(404) 252-6750,Frozen Foods-Wholesale,Frozen Foods-Wholesale,Food Products (Whls),$0 ,Atl-Ss-Rswl,1000 Abernathy Rd,33.9348521,-84.35462570825472
Ameritel Wireless Phone Repair,Jing,Kang,10820 Abbotts Bridge Rd,Duluth,GA,(770) 418-0339,Cellular Telephones-Service & Repair,Cellular Telephones-Service & Repair,,"$208,000 ",Atl-Ss-Rswl,10820 Abbotts Bridge Rd,34.0073419,-84.1465789
Angies Beauty Supply,Min,Kang,697 Davis Rd # 1500,Stockbridge,GA,(678) 565-0622,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$358,000 ",Atl-Ss-Rswl,697 Davis Rd,33.5561565,-84.25462725
Atl Wings & Things,Dongsin,Kang,1215 Scenic Hwy,Lawrenceville,GA,(678) 344-0457,Restaurants,Restaurants,,"$105,000 ",Atl-Ss-Rswl,1215 Scenic Hwy,33.90713396069963,-84.00305885883239
Avanade Inc,Alice,Kang,84 Peachtree St NE # 700,Atlanta,GA,(404) 751-0751,Business Management Consultants,Business Management Consultants,,"$940,000 ",Atl-Ss-Rswl,84 Peachtree St NE,33.7628031380996,-84.38724081975265
Avery Dennison Corp,Harvir,Kang,513 Highway 74 S,Peachtree City,GA,(770) 487-7516,Office Supplies,Office Supplies,Coated & Laminated Paper NEC (Mfrs),"$46,453,000 ",Atl-Ss-Rswl,513 Highway 74 S,,
BBG,Charlette,Kang,1349 W Peachtree St NW # 900,Atlanta,GA,(770) 777-6133,Real Estate Appraisers,Real Estate Appraisers,Real Estate,"$369,000 ",Atl-Ss-Rswl,1349 W Peachtree St NW,33.7934484,-84.3874543
Best Imports & Wholesale LLC,Roger,Kang,140 Satellite Blvd NE # A,Suwanee,GA,(678) 889-4400,Jewelers-Retail,Jewelers-Retail,General Merchandise-Wholesale,"$337,000 ",Atl-Ss-Rswl,140 Satellite Blvd NE,,
Boost Mobile Auth Retailer,Andy,Kang,2440 Wesley Chapel Rd # E,Decatur,GA,(678) 418-1444,Cellular Telephones (Services),Cellular Telephones (Services),Authorized Retailer-Cellular Services,"$1,760,000 ",Atl-Ss-Rswl,2440 Wesley Chapel Rd,,
Boost Mobile Premier,Hyon C,Kang,134 S Clayton St # 15,Lawrenceville,GA,(678) 324-3481,Cellular Telephones (Services),Cellular Telephones (Services),Authorized Retailer-Cellular Services,"$2,660,000 ",Atl-Ss-Rswl,134 S Clayton St,33.9489926,-83.9864484
BST Innovation LLC,Byung H,Kang,2476 Pleasant Hill Rd # 204,Duluth,GA,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Atl-Ss-Rswl,2476 Pleasant Hill Rd,34.0045308,-84.1700046
C2 Education,Jenny,Kang,3463 Law Suw Rd # 103,Suwanee,GA,(770) 614-3455,Schools With Special Academic Education,Schools With Special Academic Education,Tutoring,$0 ,Atl-Ss-Rswl,3463 Law Suw Rd,,
Cafe 1000,Suzy,Kang,1000 Windward Concourse,Alpharetta,GA,(678) 297-2812,Restaurants,Restaurants,,"$599,000 ",Atl-Ss-Rswl,1000 Windward Concourse,34.0959803,-84.24089195637019
Cleaners Spring,J,Kang,1362 Terrell Mill Rd SE,Marietta,GA,(770) 916-1004,Cleaners,Cleaners,,"$430,000 ",Atl-Ss-Rswl,1362 Terrell Mill Rd SE,33.9191193,-84.46601967535346
Coach,Ellie,Kang,3393 Peachtree Rd NE # 3085,Atlanta,GA,(404) 237-6297,Handbags,Handbags,Accessories-Fashion,"$4,600,000 ",Atl-Ss-Rswl,3393 Peachtree Rd NE,33.8466829,-84.36285582128988
Cornelia Dental,Joshua T,Kang,105 Highland Ave,Cornelia,GA,(706) 778-8645,Dentists,Dentists,,"$1,521,000 ",Cornelia,105 Highland Ave,34.50334497468354,-83.52390612658228
Delta Community Credit Union,Chris,Kang,6766 Hickory Flat Hwy,Canton,GA,(404) 715-4725,Credit Unions,Credit Unions,,"$594,000 ",Atl-Ss-Rswl,6766 Hickory Flat Hwy,34.171375350000005,-84.41667432106482
Epic PC Lounge LLC,Sunghye,Kang,2605 Pleasant Hill Rd # 600b,Duluth,GA,(678) 585-4858,Internet Service,Internet Service,Table Tennis Facilities,"$190,000 ",Atl-Ss-Rswl,2605 Pleasant Hill Rd,33.97009426044784,-84.14685324201139
Exponation LLC,Helen,Kang,50 Glenlake Pkwy # 430,Atlanta,GA,(770) 649-0300,Business Service Centers,Business Service Centers,,"$1,814,000 ",Atl-Ss-Rswl,50 Glenlake Pkwy,33.9407514,-84.3615589
Extra Gold,Iksoo,Kang,5137 Old National Hwy,Atlanta,GA,(404) 767-9881,Craft Galleries & Dealers,Craft Galleries & Dealers,Cosmetics & Perfumes-Retail,"$164,000 ",Atl-Ss-Rswl,5137 Old National Hwy,,
G S M G Entertainment LLC,Ki H,Kang,PO Box 956219,Duluth,GA,Not Available,Entertainment Bureaus,Entertainment Bureaus,,"$207,000 ",Atl-Ss-Rswl,PO Box 956219,,
Georgia Eye Inst Of Southeast,Doo Y,Kang,741 Weeping Willow Dr,Hinesville,GA,(912) 368-2522,Optometrists OD,Optometrists OD,,"$96,000 ",Hinesville,741 Weeping Willow Dr,31.831623843809208,-81.61735148611507
HD Supply Facilities Mntnc,Cindy,Kang,2455 Paces Ferry Rd SE,Atlanta,GA,(770) 852-9000,Contractors-Equip/Supls-Dlrs/Svc (Whls),Contractors-Equip/Supls-Dlrs/Svc (Whls),Home Improvements,$0 ,Atl-Ss-Rswl,2455 Paces Ferry Rd SE,,
Health One Medical Group LLC,Christopher,Kang,10710 Medlock Brg Rd # 150,Johns Creek,GA,(770) 497-4188,Medical Groups,Medical Groups,Physicians & Surgeons,"$762,000 ",Atl-Ss-Rswl,10710 Medlock Brg Rd,,
Health One Medical Group LLC,Christopher,Kang,10710 Medlock Bridge Rd # 15,Johns Creek,GA,(770) 497-4188,Physicians & Surgeons,Physicians & Surgeons,,"$670,000 ",Atl-Ss-Rswl,10710 Medlock Bridge Rd,34.04055958537783,-84.18399463333674
Health1care Medical Group Dr,Harold,Kang,10710 Medlock Brg Rd # 200,Johns Creek,GA,(770) 497-4188,Clinics,Clinics,Physicians & Surgeons,$0 ,Atl-Ss-Rswl,10710 Medlock Brg Rd,,
Home Depot,Harbikramji,Kang,1414 Tallahassee Hwy,Bainbridge,GA,(229) 246-1804,Home Centers,Home Centers,Home Improvements,"$20,147,000 ",Bainbridge,1414 Tallahassee Hwy,30.8893761,-84.5661454
Hyundai Construction Eqpt,Myung S,Kang,6100 Atlantic Blvd,Norcross,GA,(678) 823-7777,Excavation Equipment Manufacturers,Excavation Equipment Manufacturers,General Contractors,"$14,439,000 ",Atl-Ss-Rswl,6100 Atlantic Blvd,33.94101508040201,-84.23310400502513
Infor Inc,Jiwoo,Kang,13560 Morris Rd,Alpharetta,GA,(603) 929-0577,Software/Application/Platform Publishing,Software/Application/Platform Publishing,Telecommunications Services,"$82,461,000 ",Atl-Ss-Rswl,13560 Morris Rd,34.084234,-84.263175
Istar,Seung,Kang,3480 Preston Ridge Rd # 100,Alpharetta,GA,(678) 297-0100,Real Estate,Real Estate,Financing,"$24,535,000 ",Atl-Ss-Rswl,3480 Preston Ridge Rd,34.07169565558249,-84.26014925696175
Jessica Kang,Jessica V,Kang,6602 Waters Ave # A,Savannah,GA,(912) 350-6000,Physicians & Surgeons,Physicians & Surgeons,,"$695,000 ",Savannah,6602 Waters Ave,32.0104136,-81.0986837
Jolly Joes Cafe,Taedu,Kang,1153 Veterans Memorial Hwy SW,Mableton,GA,(770) 941-0484,Restaurants,Restaurants,Parcel Delivery,"$270,000 ",Atl-Ss-Rswl,1153 Veterans Memorial Hwy SW,33.8156862,-84.5645665
Jung Studio,Jung,Kang,314 Pharr Rd NE # B,Atlanta,GA,(678) 637-3224,Beauty Salons,Beauty Salons,,"$50,000 ",Atl-Ss-Rswl,314 Pharr Rd NE,33.83711491666667,-84.37733629166667
K Beauty Supply,Mira,Kang,519 N Expressway,Griffin,GA,(770) 467-0118,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,,"$119,000 ",Atl-Ss-Rswl,519 N Expressway,33.25034206060606,-84.2871059040404
