Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
7 Star,Yung,Kang,1001 Winnsboro Rd,Monroe,LA,(318) 325-2941,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,,"$344,000 ",Monroe,1001 Winnsboro Rd,32.483775,-92.093686
Ace Cleaners,Chan,Kang,1607 Prytania St,New Orleans,LA,(504) 525-0685,Cleaners,Cleaners,,"$74,000 ",New Orleans,1607 Prytania St,29.9375061,-90.0749529
Hair Star Beauty Supply,Young,Kang,2019 W University Ave,Lafayette,LA,(337) 233-5255,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$443,000 ",Lafayette,2019 W University Ave,30.23152721,-92.03206469
Haji Saab LLC,Penh,Kang,81550 Highway 21,Bush,LA,(985) 886-6222,Service Stations-Gasoline & Oil,Service Stations-Gasoline & Oil,Convenience Stores,"$3,172,000 ",New Orleans,81550 Highway 21,,
Healthcare Center,Gloria C,Kang,6820 Vetrns Meml Blvd # E,Metairie,LA,(504) 454-8408,Physicians & Surgeons,Physicians & Surgeons,,"$462,000 ",New Orleans,6820 Vetrns Meml Blvd,,
I-Communication OP LLC,Young,Kang,1116 Creswell Ln,Opelousas,LA,Not Available,Communications,Communications,,"$1,654,000 ",Opelousas,1116 Creswell Ln,,
Jaasim II LLC,Hardial S,Kang,8635 Highway 165 N,Monroe,LA,Not Available,Restaurants,Restaurants,,"$470,000 ",Monroe,8635 Highway 165 N,,
K & M Connections LLC,Penh,Kang,4842 Charmes Ct,New Orleans,LA,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,New Orleans,4842 Charmes Ct,30.03633325,-89.92555356
K Young Investment LLC,Young,Kang,113 Carmel Dr,Lafayette,LA,Not Available,Investments,Investments,,"$2,313,000 ",Lafayette,113 Carmel Dr,40.4504833,-86.91771
Kang Seung Ah MD,Seung A,Kang,1430 Tulane Ave # 8050,New Orleans,LA,(504) 988-7809,Physicians & Surgeons,Physicians & Surgeons,,$0 ,New Orleans,1430 Tulane Ave,29.9552192,-90.0767349
Korean Agape Baptist Church,Won Hui,Kang,2020 Barataria Blvd,Marrero,LA,(504) 328-7372,Churches,Churches,,$0 ,New Orleans,2020 Barataria Blvd,29.8717959,-90.09826773
Korean Baptist Chr-Baton Rouge,Pyung Ho,Kang,264 Burgin Ave,Baton Rouge,LA,(225) 768-7700,Churches,Churches,,$0 ,Baton Rouge,264 Burgin Ave,30.39407663,-91.15784118
Majestic Cleaners,Jennifer,Kang,3865 General Degaulle Dr # A,New Orleans,LA,(504) 361-5067,Cleaners,Cleaners,,"$147,000 ",New Orleans,3865 General Degaulle Dr,,
Mary Lee Donuts,Mija,Kang,8821 Highland Rd,Baton Rouge,LA,(225) 767-7735,Doughnuts,Doughnuts,,"$126,000 ",Baton Rouge,8821 Highland Rd,30.36952276,-91.12357719
Oksop LLC,Mina O,Kang,1116 Creswell Ln,Opelousas,LA,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Opelousas,1116 Creswell Ln,,
Pulmonary Medicine Assoc,Judy,Kang,1111 Med Ctr Blvd # N504,Marrero,LA,(504) 349-6705,Physicians & Surgeons,Physicians & Surgeons,,"$462,000 ",New Orleans,1111 Med Ctr Blvd,29.8913466,-90.0958567
Seven Star Beauty & Fashi,Young Ho,Kang,103 Carmel Dr,Lafayette,LA,(337) 233-7039,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$443,000 ",Lafayette,103 Carmel Dr,40.4504833,-86.91771
Shogun Steakhouse & Sushi Bar,Charlie,Kang,1409 E 70th St,Shreveport,LA,(318) 798-1001,Restaurants,Restaurants,,"$475,000 ",Shreveport,1409 E 70th St,32.4419997,-93.7486057
Star Beauty,Young,Kang,1819 NW Evangeline Thrwy,Lafayette,LA,(337) 408-3791,Beauty Salons,Beauty Salons,Cosmetics & Perfumes-Retail,"$99,000 ",Lafayette,1819 NW Evangeline Thrwy,,
Supermart II,Harry,Kang,1920 N Washington St,Bastrop,LA,(318) 281-4138,Liquors-Retail,Liquors-Retail,Convenience Stores,"$579,000 ",Monroe,1920 N Washington St,32.7953558,-91.9091677
Anita Go,Anita,Go,1268 Southampton Dr,Alexandria,LA,(318) 449-4886,Physicians & Surgeons,Physicians & Surgeons,,"$870,000 ",Alexandria,1268 Southampton Dr,31.283814,-92.478611
