Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
"Kang, Jannat MD",Jannat,Kang,2500 N State St,Jackson,MS,(601) 984-5601,Physicians & Surgeons,Physicians & Surgeons,,"$640,000 ",Jackson,2500 N State St,32.32938955,-90.17252057
"Kang, Jisun Do",Jisun,Kang,905c S Frontage Rd,Meridian,MS,(601) 484-2793,Physicians & Surgeons,Physicians & Surgeons,,"$576,000 ",Meridian,905c S Frontage Rd,32.3628971,-88.6766814
"Kang, Min J",Min J,Kang,2500 N State St # 2525,Jackson,MS,(601) 984-5815,Nurses-Practitioners,Nurses-Practitioners,,"$56,000 ",Jackson,2500 N State St,32.32938955,-90.17252057
"Kang, Sean",Sean,Kang,16701 E Main St,Louisville,MS,(662) 773-5544,Dentists,Dentists,,$0 ,,16701 E Main St,,
"Kang, Sun-Woong Do",Sun-Woong,Kang,5001 Hardy St,Hattiesburg,MS,(601) 296-3963,Physicians & Surgeons,Physicians & Surgeons,,"$164,000 ",Hattiesburg,5001 Hardy St,31.32619465,-89.36725202
Mccorquodale Transfer,Dong,Kang,425 W Capitol St,Jackson,MS,(601) 906-1315,Movers,Movers,,"$909,000 ",Jackson,425 W Capitol St,32.30090349,-90.19325578
Gotta Condo LLC,Lauren,Go,120 Highway 49 N,Jackson,MS,(601) 879-3969,Condominiums,Condominiums,,"$474,000 ",Jackson,120 Highway 49 N,,
Greenwood Leflore Hospital,Michael K,Ko,1401 River Rd # 442,Greenwood,MS,(662) 459-7000,Physicians & Surgeons,Physicians & Surgeons,,"$820,000 ",Greenwood,1401 River Rd,33.51807775,-90.20088403
T & S Corner Mart,Pengleap,Ko,4423 Chicot St,Pascagoula,MS,(228) 762-0039,Service Stations-Gasoline & Oil,Service Stations-Gasoline & Oil,Convenience Stores,"$1,707,000 ",Gulfport,4423 Chicot St,30.3783394,-88.5250442
Kong Keonho MD,Keonho,Kong,2500 N State St,Jackson,MS,(601) 815-2005,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Jackson,2500 N State St,32.32938955,-90.17252057
Johnny,Myeong,Kwak,620 S State St # 4,Clarksdale,MS,(662) 627-1676,Beauty Salons,Beauty Salons,,"$25,000 ",Clarksdale,620 S State St,34.18932265,-90.57872452
SNOWFOX,Chang Young,Kwon,1811 W Government St,Brandon,MS,(435) 418-0105,Food Service Kiosk,Food Service Kiosk,,$0 ,Jackson,1811 W Government St,32.28311267,-90.00892942
Aflac,Wayne,Kim,16145 Orange Grove Rd # F,Gulfport,MS,(228) 832-8853,Insurance,Insurance,Insurance-Health & Accident,"$429,000 ",Gulfport,16145 Orange Grove Rd,30.45244805,-89.10787859
American Deli,Chung,Kim,1404 Old Aberdeen Rd # 6b,Columbus,MS,(662) 241-7737,Restaurants,Restaurants,Foods-Carry Out,"$133,000 ",Columbus,1404 Old Aberdeen Rd,33.5167039,-88.4311816
American Wings & Cafe,Alex,Kim,6466 U S Highway 98,Hattiesburg,MS,(601) 602-4045,Restaurants,Restaurants,Coffee Shops,"$280,000 ",Hattiesburg,6466 U S Highway 98,,
Baptist Medical Group,Min S,Kim,2520 5th St N,Columbus,MS,(662) 244-2042,Physicians & Surgeons,Physicians & Surgeons,,"$1,176,000 ",Columbus,2520 5th St N,,
Beauty Depot,Young,Kim,1700 University Blvd # 21,Jackson,MS,(601) 354-0910,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$611,000 ",Jackson,1700 University Blvd,32.284776,-90.207196
Beauty Depot,So,Kim,136 Leontyne Price Blvd,Laurel,MS,(601) 649-0414,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,,"$355,000 ",Laurel,136 Leontyne Price Blvd,31.6907337,-89.13351899
Beauty Depot,Young,Kim,3151 Highway 80 E,Pearl,MS,(601) 932-1910,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$718,000 ",Jackson,3151 Highway 80 E,,
Beauty Mart,Young,Kim,414 W Peace St,Canton,MS,(601) 855-0086,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$547,000 ",Jackson,414 W Peace St,32.61265901,-90.03999195
Cater's Market,Campbell,Kim,5201 Highway 493,Meridian,MS,(601) 482-5515,Restaurants,Restaurants,Bakers-Retail,"$418,000 ",Meridian,5201 Highway 493,,
