Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
Carolina Outreach,Mou,Gang,3012 Falstaff Rd,Raleigh,NC,(919) 615-1027,Mental Health Services,Mental Health Services,,"$819,000 ",Raleigh-Cary,3012 Falstaff Rd,35.781688,-78.585556
Golden China,Yuan,Gang,1001 Gastonia Hwy # A,Bessemer City,NC,(704) 629-3858,Restaurants,Restaurants,,"$129,000 ",Charlotte,1001 Gastonia Hwy,35.287616,-81.265651
All Nations Presbyterian Msn,Joon Won,Kang,5319 Fernhill Dr,Charlotte,NC,(704) 340-6611,Churches,Churches,,$0 ,Charlotte,5319 Fernhill Dr,35.1510431,-80.88921326
Apple C K Enterprise Inc,Chun Cha,Kang,8633 Monroe Rd # B,Charlotte,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Charlotte,8633 Monroe Rd,35.1517697,-80.7453063
Ask Construction Inc,Alexander S,Kang,10718 Monroe Rd # D,Matthews,NC,Not Available,Construction Companies,Construction Companies,,$0 ,Charlotte,10718 Monroe Rd,35.1273653,-80.73137062
Bassett Home Furnishings,Tiewei,Kang,4501 Landover Rd,Greensboro,NC,(336) 323-0166,Furniture-Dealers-Retail,Furniture-Dealers-Retail,Furniture Accessories Decor-Mfrs,"$3,722,000 ",Greensboro,4501 Landover Rd,36.0539797,-79.89577711
Beauty 101,Sin,Kang,5720 E Independence Blvd,Charlotte,NC,(704) 535-5777,Beauty Salons,Beauty Salons,Wigs Toupees & Hairpieces,"$184,000 ",Charlotte,5720 E Independence Blvd,35.18186491,-80.75490536
Beauty Family Store,Seongmo,Kang,1007 N Breazeale Ave,Mount Olive,NC,(919) 658-2325,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,,"$246,000 ",Goldsboro,1007 N Breazeale Ave,35.20970085,-78.06358736
C S Carolina,Joon Y,Kang,1305 Graham St,Burlington,NC,(336) 578-0110,Textile Fibers (Mfrs),Textile Fibers (Mfrs),Yarn-Retail,"$2,014,000 ",Burlington,1305 Graham St,36.08761607,-79.41420572
Carolina Hair Design,Sang,Kang,3037 Union Rd,Gastonia,NC,(704) 852-4013,Beauty Salons,Beauty Salons,Tanning Salons,"$69,000 ",Charlotte,3037 Union Rd,35.255608,-81.177464
Carolinas Healthcare Syst,David,Kang,10628 Park Rd,Charlotte,NC,(704) 667-1000,Physicians & Surgeons,Physicians & Surgeons,,"$679,000 ",Charlotte,10628 Park Rd,35.09203755,-80.87159688
Duke Eye Ctr,Jessica M,Kang,2351 Erwin Rd,Durham,NC,(919) 681-3937,Physicians & Surgeons,Physicians & Surgeons,,"$412,000 ",Durham,2351 Erwin Rd,36.00754165,-78.93916808
Dynamic LED Supply Inc,Leeta,Kang,10718 Monroe Rd,Matthews,NC,(704) 390-4058,General Merchandise-Retail,General Merchandise-Retail,,"$496,000 ",Charlotte,10718 Monroe Rd,35.1273653,-80.73137062
Eastern Corp,Yuhee,Kang,124 Franklin Park Dr,Youngsville,NC,(919) 562-8123,Courier Services,Courier Services,General Contractors,"$2,302,000 ",Raleigh-Cary,124 Franklin Park Dr,,
Fine Bread Crosslink Inc,Chris,Kang,1601 Cross Link Rd # 11,Raleigh,NC,(919) 516-5111,Bakers-Retail,Bakers-Retail,,"$214,000 ",Raleigh-Cary,1601 Cross Link Rd,35.754899,-78.6152695
G O M Enterprise Inc,Jin C,Kang,11010 Tara Glenn Ct,Charlotte,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Charlotte,11010 Tara Glenn Ct,35.0552949,-80.86179175
H & K Inc,Hee J,Kang,1812 Shady Hill Ln,Wake Forest,NC,Not Available,Clothing-Retail,Clothing-Retail,,"$287,000 ",Raleigh-Cary,1812 Shady Hill Ln,35.96786237,-78.57620614
Happy Beauty Supply,Raehoon,Kang,221 Carthage St,Sanford,NC,(919) 718-0369,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,,"$365,000 ",Sanford,221 Carthage St,35.48047435,-79.17949663
Jimmy's Auto Svc,Penelope,Kang,3747 Matws Ind Trl Rd # 400,Matthews,NC,(704) 821-3005,Automobile Repairing & Service,Automobile Repairing & Service,,"$229,000 ",Charlotte,3747 Matws Ind Trl Rd,,
K T W O LLC,Sung Y,Kang,1301 Ward Blvd # G,Wilson,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Wilson,1301 Ward Blvd,35.72152741,-77.93545809
Kang Barry Kyu Sik Gol MD,Barry K,Kang,501 S Sharon Amity Rd # 300,Charlotte,NC,(704) 377-2424,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Charlotte,501 S Sharon Amity Rd,35.17267705,-80.80485481
Kang Caroline Minghwei MD,Caroline M,Kang,1225 Harding Pl # 3100,Charlotte,NC,(704) 355-8686,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Charlotte,1225 Harding Pl,35.210138,-80.83881691
"Kang, Angela Dmd",Angela,Kang,2824 Rogers Rd # 200,Wake Forest,NC,(919) 453-6325,Dentists,Dentists,,"$609,000 ",Raleigh-Cary,2824 Rogers Rd,35.9493521,-78.5086995
"Kang, Prairna",Prairna,Kang,139 Huffman Mill Rd # 104,Burlington,NC,(336) 261-3022,Dentists,Dentists,,$0 ,Burlington,139 Huffman Mill Rd,36.07953392,-79.48405198
"Kang, Tae-Sun",Tae-Sun,Kang,300 Market St # 110,Chapel Hill,NC,(984) 528-8787,Physical Therapists,Physical Therapists,,$0 ,Durham,300 Market St,35.880837,-79.0652264
Korean American Presbyterian,Jimu,Kang,3523 Johnson St,High Point,NC,(336) 841-8439,Churches,Churches,,$0 ,Greensboro,3523 Johnson St,36.00585931,-80.01032143
Lucky Beauty Mall,Hong,Kang,7813 Ocoee Ct,Raleigh,NC,(919) 788-0659,Wigs Toupees & Hairpieces,Wigs Toupees & Hairpieces,Cosmetics & Perfumes-Retail,"$318,000 ",Raleigh-Cary,7813 Ocoee Ct,35.87550788,-78.74107877
Microsoft Corp,Nam,Kang,8050 Microsoft Way,Charlotte,NC,(980) 776-1000,Software/Application/Platform Publishing,Software/Application/Platform Publishing,Computer & Equipment Dealers,"$981,142,000 ",Charlotte,8050 Microsoft Way,35.14007435,-80.92307018
Midan Marketing,Melissa,Kang,108 Gateway Blvd # 207,Mooresville,NC,(704) 664-6328,Marketing Programs & Services,Marketing Programs & Services,Marketing Consultants,"$633,000 ",Charlotte,108 Gateway Blvd,35.5556506,-80.8543034
Mixed Rice LLC,Hyun S,Kang,3258 S Church St,Burlington,NC,(336) 270-8299,Rice Products (Mfrs),Rice Products (Mfrs),,"$4,838,000 ",Burlington,3258 S Church St,36.08055469,-79.50894856
Pantry Shop,Ilpon,Kang,500 National Hwy,Thomasville,NC,(336) 472-7537,Convenience Stores,Convenience Stores,Grocers-Retail,"$565,000 ",Winston-Slm,500 National Hwy,35.8944397,-80.0713769
Q Express II,Sang,Kang,555 Abington Rd,Lenoir,NC,(828) 758-9502,Grocers-Retail,Grocers-Retail,Convenience Stores,"$213,000 ",Hickory,555 Abington Rd,35.903994,-81.57888496
RBC Wealth Management,Eva,Kang,4208 Six Forks Rd # 1000,Raleigh,NC,(919) 571-6240,Investment Securities,Investment Securities,Stock & Bond Brokers,"$8,300,000 ",Raleigh-Cary,4208 Six Forks Rd,35.83693535,-78.63992692
Republic Services,Richard,Kang,8303 University Exec Park Dr,Charlotte,NC,(704) 377-5631,Garbage Collection,Garbage Collection,Waste Reduction Disposal Equip-Ind-Mfrs,"$7,712,000 ",Charlotte,8303 University Exec Park Dr,,
Republic Services,Richard,Kang,5105 Morehead Rd # A,Concord,NC,(704) 398-2104,Waste Disposal,Waste Disposal,Garbage Collection,"$8,180,000 ",Charlotte,5105 Morehead Rd,35.3452868,-80.6828865
Save Dollar Beauty Supply,Steve,Kang,2309 Randleman Rd,Greensboro,NC,(336) 691-9555,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$257,000 ",Greensboro,2309 Randleman Rd,36.04442244,-79.80054761
Three Dollar Crystal Cleaners,Moon,Kang,7336 Market St,Wilmington,NC,(910) 686-1818,Cleaners,Cleaners,,"$419,000 ",Wilmington,7336 Market St,34.2426449,-77.8910382
Top Express Inc,Sang,Kang,1151 16th St NE,Hickory,NC,(828) 322-3314,Service Stations-Gasoline & Oil,Service Stations-Gasoline & Oil,Convenience Stores,"$1,641,000 ",Hickory,1151 16th St NE,35.74182556,-81.30459403
Top Pawn & Gold LLC,Charles C,Kang,502 NC 39 Hwy S,Louisburg,NC,(919) 496-5099,Pawnbrokers,Pawnbrokers,,"$625,000 ",Raleigh-Cary,502 NC 39 Hwy S,,
UNC Clinic,Myungsa,Kang,101 Manning Dr # 7001j,Chapel Hill,NC,(919) 966-7890,Physicians & Surgeons,Physicians & Surgeons,,"$416,000 ",Durham,101 Manning Dr,35.9050278,-79.05064178
USPS,Shyhjer,Kang,2100 Lake Dam Rd,Raleigh,NC,(919) 743-0663,Post Offices,Post Offices,Mailing & Shipping Services,$0 ,Raleigh-Cary,2100 Lake Dam Rd,35.7506742,-78.70845306
Yadkin Boots,Jae S,Kang,6023 Yadkin Rd,Fayetteville,NC,(910) 867-2060,Boots,Boots,,"$154,000 ",Fayetteville,6023 Yadkin Rd,35.09646093,-78.9881971
Zion Express,Joon,Kang,4628 W Gate City Blvd,Greensboro,NC,(336) 852-3751,Convenience Stores,Convenience Stores,Service Stations-Gasoline & Oil,"$1,055,000 ",Greensboro,4628 W Gate City Blvd,36.03230276,-79.86777726
Automan Car Care Ctr,Sungbum,Go,6806 Glenwood Ave,Raleigh,NC,(919) 322-0300,Automobile Repairing & Service,Automobile Repairing & Service,Automobile Parts & Supplies-Retail-New,"$415,000 ",Raleigh-Cary,6806 Glenwood Ave,35.86220755,-78.71027974
"Go, Betty Sy MD",Betty Sy,Go,3305 Sungate Blvd # 2,Raleigh,NC,(919) 212-0129,Physicians & Surgeons,Physicians & Surgeons,,"$616,000 ",Raleigh-Cary,3305 Sungate Blvd,35.77656635,-78.58312528
"Go, Michelle MD",Michelle,Go,125 Macnider Hl,Chapel Hill,NC,(919) 966-4468,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Durham,125 Macnider Hl,,
Wakemed Heart Ctr,Brian M,Go,3000 New Bern Ave # 1200,Raleigh,NC,(919) 231-6132,Physicians & Surgeons,Physicians & Surgeons,,"$616,000 ",Raleigh-Cary,3000 New Bern Ave,35.7826101,-78.58824266
YAMA,Q,Go,11641 Waverly Center Dr # K2,Charlotte,NC,(980) 265-1528,Restaurants,Restaurants,,"$3,249,000 ",Charlotte,11641 Waverly Center Dr,35.0511375,-80.7683719
Asheboro Dental Care,Janice B,Ko,350 N Cox St # 18,Asheboro,NC,(336) 625-4700,Dentists,Dentists,,"$593,000 ",Greensboro,350 N Cox St,35.71001419,-79.81053357
Bayer Environmental Science US,Alexander,Ko,5000 Centre Green Way # 400,Cary,NC,(919) 549-2000,Environmental & Ecological Services,Environmental & Ecological Services,Agricultural Research,$0 ,Raleigh-Cary,5000 Centre Green Way,35.82627795,-78.7954324
Beautysmart,Paul,Ko,943 W Andrews Ave # B,Henderson,NC,(252) 492-7483,Beauty Salons-Equipment & Supplies (Whls),Beauty Salons-Equipment & Supplies (Whls),,"$1,319,000 ",Henderson,943 W Andrews Ave,36.33860257,-78.41017995
Ey,Joon,Ko,100 N Tryon St,Charlotte,NC,(704) 372-6300,Accountants,Accountants,Accounting & Bookkeeping General Svc,"$22,946,000 ",Charlotte,100 N Tryon St,35.2274294,-80.8422014
Full Gospel Korean Church,Sung Cheul,Ko,300 Suzanne St,Fayetteville,NC,Not Available,Churches,Churches,,$0 ,Fayetteville,300 Suzanne St,,
Honey Pig,Una,Ko,1065 Darrington Dr,Cary,NC,(919) 234-0088,Restaurants,Restaurants,Korean Foods,"$365,000 ",Raleigh-Cary,1065 Darrington Dr,35.7991693,-78.815966
Ifala LLC,Lorraine,Ko,1920 E NC Highway 54,Durham,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Durham,1920 E NC Highway 54,,
K & J Floor Corp,James,Ko,3117 Allenwood Rd,Charlotte,NC,Not Available,Floor Laying Refinishing & Resurfacing,Floor Laying Refinishing & Resurfacing,,"$293,000 ",Charlotte,3117 Allenwood Rd,35.0707403,-80.74062765
Ko Doug C,Doug C,Ko,4816 Six Forks Rd # 102,Raleigh,NC,(919) 803-2424,Acupuncture,Acupuncture,,"$60,000 ",Raleigh-Cary,4816 Six Forks Rd,35.8466222,-78.6429428
Saltbox Valet,Katie,Ko,124 Kilmayne Dr,Cary,NC,(919) 460-6109,Cleaners,Cleaners,,"$174,000 ",Raleigh-Cary,124 Kilmayne Dr,35.7704772,-78.7833581
Soo Carolina Chicken Inc,Kyong A,Ko,1961 High House Rd,Cary,NC,Not Available,Restaurants,Restaurants,,"$481,000 ",Raleigh-Cary,1961 High House Rd,35.78887155,-78.84882792
Water Street Asheville,John,Ko,68 N Lexington Ave,Asheville,NC,(828) 560-3999,Business Management Consultants,Business Management Consultants,Foods-Carry Out,"$155,000 ",Asheville,68 N Lexington Ave,35.59717245,-82.5531139
12 Bones Smokehouse,Angela,Koh,5 Foundy St # 10,Asheville,NC,(828) 253-4499,Restaurants,Restaurants,Caterers,"$675,000 ",Asheville,5 Foundy St,35.57750955,-82.56602911
Boost Mobile By Solutions,Damjin,Koh,918 Randolph St # B,Thomasville,NC,(336) 475-0410,Cellular Telephones (Services),Cellular Telephones (Services),Authorized Retailer-Cellular Services,"$1,766,000 ",Winston-Slm,918 Randolph St,35.86948166,-80.07407096
Envicor Enterprises LLC,Francis,Koh,207 Computer Dr # A,Smithfield,NC,(919) 989-0175,Plastics-Mold-Manufacturers,Plastics-Mold-Manufacturers,Plastics-Raw Mtrls/Powder/Resin-Mfrs,"$1,894,000 ",Raleigh-Cary,207 Computer Dr,35.5331964,-78.3653503
Innovative Design,Brian,Koh,850 W Morgan St,Raleigh,NC,(919) 832-6303,Architects,Architects,Federal Government Contractors,"$1,379,000 ",Raleigh-Cary,850 W Morgan St,35.77999485,-78.65484993
Innovative Design,Bae-Won,Koh,850 W Morgan St,Raleigh,NC,(919) 832-6303,Architects,Architects,,"$414,000 ",Raleigh-Cary,850 W Morgan St,35.77999485,-78.65484993
KOH Sehie Olivia DDS,Sehie O,Koh,5408 University Pkwy,Winston Salem,NC,(313) 559-3602,Dentists,Dentists,,$0 ,Winston-Slm,5408 University Pkwy,36.16873946,-80.27681133
"KOH, David MD",David,Koh,1350 S Kings Dr # 3,Charlotte,NC,(704) 446-1242,Physicians & Surgeons,Physicians & Surgeons,,"$679,000 ",Charlotte,1350 S Kings Dr,35.196767,-80.836802
Modern Cleaners LLC,Mike,Koh,9413 Ploof Rd SE,Leland,NC,(910) 769-7483,Cleaners,Cleaners,,"$194,000 ",Myrtle Beach,9413 Ploof Rd SE,34.2153772,-78.0179174
North Carolina Bus Council,Brian,Koh,6113 Amber Bluffs Cres,Raleigh,NC,Not Available,Business Services NEC,Business Services NEC,,"$173,000 ",Raleigh-Cary,6113 Amber Bluffs Cres,35.84654764,-78.54262415
China House,Andy,Goh,7063 Knightdale Blvd,Knightdale,NC,(919) 217-4484,Restaurants,Restaurants,,"$214,000 ",Raleigh-Cary,7063 Knightdale Blvd,35.79824299,-78.49164434
NC Solutions,Han,Goh,3904 Oleander Dr # 102,Wilmington,NC,(910) 313-3232,Outpatient Mental Health & Substance Abuse Ce,Outpatient Mental Health & Substance Abuse Ce,Autism Counseling & Treatment,"$3,010,000 ",Wilmington,3904 Oleander Dr,34.21386955,-77.89921746
Smart Flex Inc,Wee,Goh,623 Southwest St,High Point,NC,(336) 884-3150,Furniture-Dealers-Wholesale,Furniture-Dealers-Wholesale,,"$9,456,000 ",Greensboro,623 Southwest St,35.925588,-80.033355
88 Jojo LLC,Qi W,Kong,700 S Memorial Dr,Greenville,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Greenville,700 S Memorial Dr,35.61217908,-77.39320257
92 Chicken Hickory Inc,Myung C,Kong,310 US Highway 70 SW,Hickory,NC,(828) 405-1303,Restaurants,Restaurants,Foods-Carry Out,$0 ,Hickory,310 US Highway 70 SW,,
A K L A LTD,Wei Xing,Kong,3 SW Pack Sq,Asheville,NC,Not Available,Software/Application/Platform Publishing,Software/Application/Platform Publishing,,"$4,117,000 ",Asheville,3 SW Pack Sq,35.59485005,-82.55198114
Astrazeneca,Emily,Kong,4222 Emperor Blvd # 560,Durham,NC,(919) 647-4990,Drug Millers (Mfrs),Drug Millers (Mfrs),Biotechnology Products & Services,$0 ,Durham,4222 Emperor Blvd,35.8724333,-78.8468062
Curtis Media Group Inc,Jason,Kong,3012 Highwoods Blvd # 200,Raleigh,NC,(919) 790-9392,Radio Stations & Broadcasting Companies,Radio Stations & Broadcasting Companies,Radio Program Producers,$0 ,Raleigh-Cary,3012 Highwoods Blvd,35.8209973,-78.60476856
Dentsply Sirona Inc,Victor,Kong,13320 Ballantyne Corporate Pl,Charlotte,NC,(717) 845-7511,Dental Equipment & Supplies-Mfrs,Dental Equipment & Supplies-Mfrs,Dental Equipment & Supplies-Wholesale,$0 ,Charlotte,13320 Ballantyne Corporate Pl,35.060724,-80.84568398
Duke University Hospital,David F,Kong,2301 Erwin Rd,Durham,NC,(919) 681-5816,Physicians & Surgeons,Physicians & Surgeons,,"$412,000 ",Durham,2301 Erwin Rd,36.0070213,-78.93734788
Ey,Yuan,Kong,100 N Tryon St,Charlotte,NC,(704) 372-6300,Accountants,Accountants,Accounting & Bookkeeping General Svc,"$22,946,000 ",Charlotte,100 N Tryon St,35.2274294,-80.8422014
Fusion Bowl,Jack,Kong,126 Mooresville Commns Way # A,Mooresville,NC,(704) 664-5999,Restaurants,Restaurants,,"$627,000 ",Charlotte,126 Mooresville Commns Way,,
Great Wall Chinese Restaurant,Ken,Kong,1936 Stone Rose Dr,Rocky Mount,NC,(252) 446-7777,Restaurants,Restaurants,,"$164,000 ",Rocky Mount,1936 Stone Rose Dr,,
Khontext LLC,Seth,Kong,6201 Fairview Rd # 200,Charlotte,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Charlotte,6201 Fairview Rd,35.150833,-80.836715
Kong Keonho MD,Keonho,Kong,2226 Nelson Hwy # 101,Chapel Hill,NC,(984) 974-6484,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Durham,2226 Nelson Hwy,35.91167755,-78.9859811
"Kong, Ricky Phal",Ricky Phal,Kong,1020 Bradford Plaza Way,Cary,NC,(919) 460-2087,Pharmacists,Pharmacists,,"$60,000 ",Raleigh-Cary,1020 Bradford Plaza Way,35.7933563,-78.8448286
"Kong, Sumin Lee MD",Sumin Lee,Kong,Medical Center Blvd,Winston Salem,NC,(336) 716-2011,Physicians & Surgeons,Physicians & Surgeons,,"$567,000 ",Winston-Slm,Medical Center Blvd,36.0902655,-80.2715845
Laboratory Corp-Amer Holdings,Garheng,Kong,358 S Main St,Burlington,NC,(336) 229-1127,Laboratories-Medical,Laboratories-Medical,Physicians & Surgeons Equip & Supls-Mfrs,$0 ,Burlington,358 S Main St,36.09337335,-79.43717982
MTN Vista Inn,Ai Choo,Kong,78 Terrace Ave,Murphy,NC,(828) 837-8880,Hotels & Motels,Hotels & Motels,,"$213,000 ",,78 Terrace Ave,35.083958,-84.02875283
Precisionary Instruments LLC,Jian,Kong,2340 Dovedale Dr # B,Greenville,NC,(252) 364-2188,Laboratory Equipment & Supplies-Mfrs,Laboratory Equipment & Supplies-Mfrs,Musical Instruments-Dealers,"$474,000 ",Greenville,2340 Dovedale Dr,35.58229153,-77.42363468
Preferred Electric Co Inc,Gabrielle,Kong,4113 Yancey Rd,Charlotte,NC,(704) 347-0446,Electric Contractors,Electric Contractors,Computer Rooms-Installation & Equipment,"$2,192,000 ",Charlotte,4113 Yancey Rd,35.18721067,-80.88036816
Price's Custom Meat Cutting,Lee,Kong,8450 Price Meat Cutting Rd,Hickory,NC,(828) 397-5150,Meat-Retail,Meat-Retail,,"$298,000 ",Hickory,8450 Price Meat Cutting Rd,,
Shanghai,Alan,Kong,3433 Hillsborough Rd,Durham,NC,(919) 383-7581,Restaurants,Restaurants,,"$757,000 ",Durham,3433 Hillsborough Rd,36.01937413,-78.94664869
Union County Community Shelter,Kenny,Kong,160 Meadow St,Monroe,NC,(704) 289-5300,Government Offices-County,Government Offices-County,Marriage & Family Counselors,$0 ,Charlotte,160 Meadow St,34.98868399,-80.5476231
Burlington Express Inc,Kyung Y,Kwak,1805 Sardis Rd N # 103,Charlotte,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Charlotte,1805 Sardis Rd N,35.14126895,-80.73653118
Carolinaeast Medical Ctr,No B,Kwak,2000 Neuse Blvd,New Bern,NC,(252) 633-8640,Physicians & Surgeons,Physicians & Surgeons,,"$567,000 ",New Bern,2000 Neuse Blvd,35.11374125,-77.06622839
J C J Glory Inc,Sung Eun,Kwak,604 Granville Cors,Oxford,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Durham,604 Granville Cors,,
KWAK Jin Shin MD,Jin S,Kwak,920 Church St N,Concord,NC,(704) 403-1430,Physicians & Surgeons,Physicians & Surgeons,,"$411,000 ",Charlotte,920 Church St N,35.43761825,-80.60209038
Q Cleaners,Soon,Kwak,11318 N Community House Rd,Charlotte,NC,(704) 544-3471,Janitor Service,Janitor Service,Cleaners,"$797,000 ",Charlotte,11318 N Community House Rd,35.0563085,-80.8353852
Samsung Oriental Medical Ctr,Pil Keun,Kwak,111 Windel Dr # 101,Raleigh,NC,(919) 782-5077,Acupuncture,Acupuncture,,"$60,000 ",Raleigh-Cary,111 Windel Dr,35.8538599,-78.64093289
Westbrook Laundry & Drycleaner,Jin,Kwak,1030 Williamson Ave,Burlington,NC,(336) 538-1911,Cleaners,Cleaners,Laundries,"$302,000 ",Burlington,1030 Williamson Ave,36.08170707,-79.51376495
Zuion LLC,Joo,Kwak,1011 S Cannon Blvd,Kannapolis,NC,Not Available,Attorneys,Attorneys,,"$429,000 ",Charlotte,1011 S Cannon Blvd,35.48105077,-80.61159581
Cokesbury United Methodist Chr,James,Koo,7536 Clinton Rd,Stedman,NC,(910) 339-6540,Churches,Churches,,$0 ,Fayetteville,7536 Clinton Rd,35.01269418,-78.69152706
E Quick Shop,Chris,Koo,3700 Spring Garden St,Greensboro,NC,(336) 299-0204,Service Stations-Gasoline & Oil,Service Stations-Gasoline & Oil,Convenience Stores,"$2,569,000 ",Greensboro,3700 Spring Garden St,36.060988,-79.855386
Foot Massage Spa Inc,Swang S,Koo,905 Mcknight Dr # A,Knightdale,NC,Not Available,Massage Therapists,Massage Therapists,,"$48,000 ",Raleigh-Cary,905 Mcknight Dr,35.79723282,-78.49225318
Fremont United Methodist Chr,Jeounghun,Koo,106 N Sycamore St,Fremont,NC,(919) 242-4797,Churches,Churches,,$0 ,Goldsboro,106 N Sycamore St,35.54391,-77.97388904
