Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
Columbia Presbyterian Mission,Joon Won,Kang,2235 Legrand Rd,Columbia,SC,(803) 788-7553,Churches,Churches,,$0 ,Columbia,2235 Legrand Rd,,
Cummins Turbo Technologies,Jasmine,Kang,9051 Palmetto Commerce Pkwy,Ladson,SC,(843) 695-2181,Engines-Diesel (Whls),Engines-Diesel (Whls),Engines-Supplies-Equipment & Parts-Mfrs,$0 ,Charleston,9051 Palmetto Commerce Pkwy,,
Evergreen Beauty Supply,Won,Kang,20 S Main St,Sumter,SC,(803) 778-2081,Beauty Salons-Equipment & Supplies (Whls),Beauty Salons-Equipment & Supplies (Whls),Wigs Toupees & Hairpieces,"$2,414,000 ",Sumter,20 S Main St,33.92007128620754,-80.34182840305948
F M Cleaners,Gaein,Kang,818 Tom Hall St # 102,Fort Mill,SC,(803) 548-3380,Cleaners,Cleaners,,"$81,000 ",Charlotte,818 Tom Hall St,35.0073252,-80.9345114
Hyewons Beauty Salon,Hyewon,Kang,4103 Hard Scrabble Rd,Columbia,SC,(803) 736-0110,Beauty Salons,Beauty Salons,,"$106,000 ",Columbia,4103 Hard Scrabble Rd,,
Iljin USA Corp,Sang,Kang,1705 Poplar Drive Ext,Greer,SC,(864) 848-5225,Software/Application/Platform Publishing,Software/Application/Platform Publishing,,"$4,123,000 ",Greenville,1705 Poplar Drive Ext,,
Insp LLC,Mark,Kang,3000 Worldreach Dr,Fort Mill,SC,(803) 578-1419,Attorneys,Attorneys,,"$563,000 ",Charlotte,3000 Worldreach Dr,,
J D's Fashion 11,Chung,Kang,7535 Garners Ferry Rd # F,Columbia,SC,(803) 714-6427,Sportswear-Retail,Sportswear-Retail,,"$213,000 ",Columbia,7535 Garners Ferry Rd,33.95872105635851,-80.93792579599994
K-Beauty Supply,Ki,Kang,326 Main St,Greenwood,SC,(864) 223-7271,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$199,000 ",Greenwood,326 Main St,34.190235333333334,-82.160435
Nanuri Group LLC,Sung,Kang,1933 Wilson Rd,Newberry,SC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Newberry,1933 Wilson Rd,34.2935022239047,-81.60568234803168
Pain Spine & Sports Medicine,C Gregory,Kang,3029 Newcastle Loop,Myrtle Beach,SC,(843) 215-8868,Physicians & Surgeons,Physicians & Surgeons,Sports Medicine & Injuries,"$533,000 ",Myrtle Beach,3029 Newcastle Loop,,
Pain Spine & Sports Medicine,C Gregory,Kang,3029 Newcastle Loop,Myrtle Beach,SC,(843) 215-8868,Physicians & Surgeons,Physicians & Surgeons,Pain Control,"$1,777,000 ",Myrtle Beach,3029 Newcastle Loop,,
Sentinel Health Partners,Min Wook,Kang,2689 Highway 1 S,Elgin,SC,(803) 438-7698,Physicians & Surgeons,Physicians & Surgeons,,"$577,000 ",Columbia,2689 Highway 1 S,,
Sentinel Health Partners,Min W,Kang,710 Dewitt Dr,Lugoff,SC,(803) 438-7566,Physicians & Surgeons,Physicians & Surgeons,,"$577,000 ",Columbia,710 Dewitt Dr,,
Sentinel Health Partners PA,Min W,Kang,1344 Haile St,Camden,SC,(803) 432-8426,Physicians & Surgeons,Physicians & Surgeons,,"$577,000 ",Columbia,1344 Haile St,34.253419,-80.593511
Stephen Kang,Stephen,Kang,312 W Stone Ave,Greenville,SC,(864) 235-4008,Insurance,Insurance,Financial Advisory Services,"$284,000 ",Greenville,312 W Stone Ave,34.8625495,-82.4019681427028
Stephen Kang Agency Inc,Stephen,Kang,312 W Stone Ave,Greenville,SC,(864) 235-4008,Insurance,Insurance,Insurance-Property & Casualty,"$425,000 ",Greenville,312 W Stone Ave,34.8625495,-82.4019681427028
Sushimiru LLC,Myung,Kang,1290 Bower Pkwy,Columbia,SC,Not Available,Restaurants,Restaurants,,"$298,000 ",Columbia,1290 Bower Pkwy,34.0701994,-81.1524559
Viriciti LLC,Valery,Kang,112 W Stone Ave # B,Greenville,SC,Not Available,Software/Application/Platform Developers & Pr,Software/Application/Platform Developers & Pr,Federal Government Contractors,$0 ,Greenville,112 W Stone Ave,34.86219715,-82.39710158565589
Wells Fargo,Nichole,Kang,202 Eddie Chasteen Dr,Walterboro,SC,(843) 549-2571,Banks,Banks,Loans,"$1,477,000 ",,202 Eddie Chasteen Dr,32.91171665,-80.66902235758553
Young Fashions,Soon Bok,Kang,235 Main St,Seneca,SC,(864) 882-9505,Men's Clothing & Furnishings-Retail,Men's Clothing & Furnishings-Retail,Cellular Telephones (Services),"$252,000 ",Seneca,235 Main St,34.6851915,-82.9516684
"Go, Carla M Pt",Carla M,Go,197 Piedmont Blvd # 111,Rock Hill,SC,(704) 323-2000,Physical Therapists,Physical Therapists,,"$54,000 ",Charlotte,197 Piedmont Blvd,34.9550875,-81.0511496
Womens Medical Group-The Crlns,Robin Ong,Go,1330 Boiling Spgs Rd # 2500,Spartanburg,SC,(864) 585-5433,Physicians & Surgeons,Physicians & Surgeons,,"$164,000 ",Spartanburg,1330 Boiling Spgs Rd,,
Kato's Grille & Bbq,Richard,Ko,2070 Sam Rittenberg Blvd,Charleston,SC,(843) 763-8898,Restaurants,Restaurants,,"$506,000 ",Charleston,2070 Sam Rittenberg Blvd,32.79190381854152,-80.0313635059834
Ko Capital LLC,John H,Ko,126 Mount Vista Ave,Greenville,SC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Greenville,126 Mount Vista Ave,34.8215552,-82.38125188417112
St Andrews Regional Library,Lin,Ko,2916 Broad River Rd,Columbia,SC,(803) 772-6675,Libraries-Public,Libraries-Public,,$0 ,Columbia,2916 Broad River Rd,34.04781935,-81.10260672108242
