Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
"Gang, Rachelle",Rachelle,Gang,1820 Roane State Hwy,Harriman,TN,(865) 717-4468,Nurses-Practitioners,Nurses-Practitioners,,$0 ,Knoxville,1820 Roane State Hwy,,
Lawrence County Clerk & Master,Kristy,Gang,240 W Gaines St # 13,Lawrenceburg,TN,(931) 766-4182,County Government-Executive Offices,County Government-Executive Offices,,$0 ,Lawrenceburg,240 W Gaines St,35.242734,-87.336803
Modine Manufacturing Co,Mark,Gang,2009 Remke Ave,Lawrenceburg,TN,(931) 762-1675,Heat Transfer Materials (Mfrs),Heat Transfer Materials (Mfrs),Manufacturers,"$32,360,000 ",Lawrenceburg,2009 Remke Ave,35.267595579515636,-87.32922984231783
Piney Mini Storage,Ed,Gang,160 Emily Blvd,Piney Flats,TN,(423) 538-4005,Storage-Household & Commercial,Storage-Household & Commercial,,"$325,000 ",Kingsport,160 Emily Blvd,,
CJ Alterations,Dana,Kang,3112 Village Shops Dr # 20,Germantown,TN,(901) 309-1998,Clothing-Retail,Clothing-Retail,Alterations-Clothing,"$282,000 ",Memphs,3112 Village Shops Dr,35.064984802325284,-89.75866210374143
Crossville Dental Ctr,Sophia M,Kang,510 Livingston Rd,Crossville,TN,(931) 484-3007,Dentists,Dentists,,"$579,000 ",Crossville,510 Livingston Rd,35.957867082585324,-85.03541840138234
Design Stone Exporter Inc,Hana,Kang,3626 Trousdale Dr # 3626,Nashville,TN,(615) 332-3434,Granite Cultured,Granite Cultured,Kitchen Remodeling & Planning Service,"$5,801,000 ",Nashville,3626 Trousdale Dr,36.09610339073403,-86.74937695361068
Fashion USA,Sam,Kang,1249 Southbrook Mall,Memphis,TN,(901) 345-3005,Women's Apparel-Retail,Women's Apparel-Retail,,"$688,000 ",Memphs,1249 Southbrook Mall,35.022233970948484,-90.02472453338373
First Korean Chr-The Nazarene,Young Seok,Kang,630 Richards Rd,Antioch,TN,(615) 832-3214,Churches,Churches,,$0 ,Nashville,630 Richards Rd,,
Heky Shoe Repair Ctr,Jong Tae,Kang,1800 Galleria Blvd,Franklin,TN,(615) 778-0555,Shoe & Boot Repairing,Shoe & Boot Repairing,Shoe Findings & Supplies (Whls),"$116,000 ",Nashville,1800 Galleria Blvd,35.9573531,-86.8139062
Hospital Based Med SVC-Tn-I PC,Barry,Kang,2300 Patterson St,Nashville,TN,(469) 401-2386,Physicians & Surgeons,Physicians & Surgeons,,"$177,000 ",Nashville,2300 Patterson St,36.15356345,-86.80824723007134
J's Beauty Supply,J,Kang,6809 Winchester Rd,Memphis,TN,(901) 794-3339,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,Beauty Salons-Equipment & Supplies (Whls),"$306,000 ",Memphs,6809 Winchester Rd,35.04923453714032,-89.83609776298539
"Kang, Caroline M MD",Caroline M,Kang,1161 21st Ave S,Nashville,TN,(615) 343-2735,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Nashville,1161 21st Ave S,36.14456762360538,-86.79987924541419
"Kang, Christina E",Christina E,Kang,5301 Ringgold Rd,East Ridge,TN,(423) 892-9559,Pharmacists,Pharmacists,,$0 ,Chattanooga,5301 Ringgold Rd,34.995457,-85.235217
"Kang, Jack DDS",Jack,Kang,919 Conference Dr # 5,Goodlettsville,TN,(615) 855-0087,Dentists,Dentists,,"$608,000 ",Nashville,919 Conference Dr,36.323937367422346,-86.70097384337777
Kroger,Michael,Kang,2050 Lascassas Pike,Murfreesboro,TN,(615) 907-6223,Grocers-Retail,Grocers-Retail,,"$24,997,000 ",Nashville,2050 Lascassas Pike,35.873065880666694,-86.35429838697097
Midtown Cleaners,Kag,Kang,440 Long Hollow Pike # A,Goodlettsville,TN,(615) 859-1213,Cleaners,Cleaners,,"$95,000 ",Nashville,440 Long Hollow Pike,36.32800709822413,-86.69917204712907
Nashville Korean United Mthdst,Hee J,Kang,916 Old Hickory Blvd,Brentwood,TN,(615) 373-0880,Churches,Churches,,$0 ,Nashville,916 Old Hickory Blvd,,
Oak Grove Cleaners,Helen,Kang,390 New Byhalia Rd,Collierville,TN,(901) 853-7756,Cleaners,Cleaners,,"$889,000 ",Memphs,390 New Byhalia Rd,35.0494808,-89.6886879
Ssoe Group,Michelle,Kang,320 Seven Springs Way,Brentwood,TN,(615) 661-7585,Architects,Architects,Engineers-Consulting,"$10,162,000 ",Nashville,320 Seven Springs Way,36.0425478,-86.7700966
Tennessee Maternal Fetal,Audrey,Kang,201 23rd Ave N # 702,Nashville,TN,(615) 284-8636,Physicians & Surgeons,Physicians & Surgeons,,"$530,000 ",Nashville,201 23rd Ave N,36.150916,-86.80623
Umami,Jia,Kang,6900 Lenox Village Dr # 28,Nashville,TN,(615) 818-0750,Restaurants,Restaurants,,"$374,000 ",Nashville,6900 Lenox Village Dr,36.025391,-86.712892
Vanderbilt University,Hakmook,Kang,1000 Oman Dr,Brentwood,TN,(615) 373-4897,Observatories,Observatories,University-College Dept/Facility/Office,$0 ,Nashville,1000 Oman Dr,36.0382588,-86.8155339
Go Josefina Dee MD,Josefina D,Go,3601 The Vanderbilt Clinic,Nashville,TN,(615) 936-2000,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Nashville,3601 The Vanderbilt Clinic,,
Henry County Medical Ctr,Virginia R,Go,301 Tyson Ave,Paris,TN,(731) 642-1220,Physicians & Surgeons,Physicians & Surgeons,,"$740,000 ",Paris,301 Tyson Ave,36.2965552,-88.31051403906781
Jackson Madison County Gen,Josefina D,Go,620 Skyline Dr,Jackson,TN,(731) 541-3400,Physicians & Surgeons,Physicians & Surgeons,,"$646,000 ",Jackson,620 Skyline Dr,35.6374198,-88.83199047553106
UPS Store,Paul,Go,1138 N Germantown Pkwy # 101,Cordova,TN,(901) 757-1144,Mailing & Shipping Services,Mailing & Shipping Services,Post Offices,"$774,000 ",Memphs,1138 N Germantown Pkwy,35.15723309529104,-89.7951789931736
Concentra Medical Ctr,Chae M,Ko,2531 Elm Hill Pike,Nashville,TN,(615) 883-6995,Physicians & Surgeons,Physicians & Surgeons,,"$530,000 ",Nashville,2531 Elm Hill Pike,36.151874003127105,-86.68014447311907
Ko Chae M MD,Chae M,Ko,510 Recovery Rd # 201,Nashville,TN,(615) 781-4433,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Nashville,510 Recovery Rd,36.07992341592116,-86.71803915873323
Ko Myat Kyaw MD,Myat K,Ko,1005 Dr Db Todd Jr Blvd,Nashville,TN,(615) 327-6611,Physicians & Surgeons,Physicians & Surgeons,,$0 ,Nashville,1005 Dr Db Todd Jr Blvd,,
Ko's Ata Martial Arts,Choungsoo,Ko,100 Commercial Dr # 7,Atoka,TN,(901) 837-5425,Martial Arts Instruction,Martial Arts Instruction,,"$366,000 ",Memphs,100 Commercial Dr,35.412106,-89.827875
