Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
"Gang, Laura L",Laura L,Gang,8001 S US Highway 75,Sherman,TX,(215) 859-7243,Nurses-Registered Rn,Nurses-Registered Rn,,$0 ,Sherman,8001 S US Highway 75,,
Hi-Line Electric Co,Jeff,Gang,2121 Valley View Ln,Dallas,TX,(972) 247-6200,Electric Equipment & Supplies-Wholesale,Electric Equipment & Supplies-Wholesale,Federal Government Contractors,"$81,949,000 ",Dallas F Wth,2121 Valley View Ln,32.92220730866982,-96.90749214589633
J One Enterprises Inc,Sophia,Gang,10909 Grissom Ln,Dallas,TX,(972) 243-4599,Moldings (Whls),Moldings (Whls),,"$7,465,000 ",Dallas F Wth,10909 Grissom Ln,32.8966407,-96.8875571242366
Monarch Moulding,Sophia,Gang,10909 Grissom Ln,Dallas,TX,(972) 243-4599,Wholesalers,Wholesalers,Sewer Cleaning Equipment & Supplies-Mfrs,"$11,782,000 ",Dallas F Wth,10909 Grissom Ln,32.8966407,-96.8875571242366
Shrimp Island,Jiann P,Gang,6405 Antoine Dr # 15,Houston,TX,(713) 681-1684,Restaurants,Restaurants,Seafood-Retail,"$191,000 ",Houston,6405 Antoine Dr,29.8595745489153,-95.47344423820556
Sweetfrog,San,Gang,1646 W Henderson St # C,Cleburne,TX,(817) 774-2224,Yogurt,Yogurt,,"$509,000 ",Dallas F Wth,1646 W Henderson St,32.336604,-97.4187
Abilene Investments LLC,Han J,Kang,1525 E Stamford St,Abilene,TX,Not Available,Investments,Investments,,"$3,410,000 ",Abilene,1525 E Stamford St,32.475109149999994,-99.6990293798546
Abrams Hair & Beauty Supply,Cathy,Kang,5816 Abrams Rd,Dallas,TX,(214) 378-9622,Cosmetics & Perfumes-Retail,Cosmetics & Perfumes-Retail,,"$175,000 ",Dallas F Wth,5816 Abrams Rd,32.8556619,-96.7503177
Accuver Americas Inc,Benjamin,Kang,500 N Central Expy # 210,Plano,TX,(469) 241-6100,Cellular Telephones (Services),Cellular Telephones (Services),Cellular Telephones-Equipment & Supls,"$3,954,000 ",Dallas F Wth,500 N Central Expy,33.075243,-96.6865565
Achalasia Assistance-Advocacy,Brandon,Kang,4616 Valerie St,Bellaire,TX,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Houston,4616 Valerie St,29.694103897959184,-95.45593495918367
All Seasons Food Store,Vincent,Kang,5700 Gessner Rd,Houston,TX,(713) 939-0886,Convenience Stores,Convenience Stores,Service Stations-Gasoline & Oil,"$1,226,000 ",Houston,5700 Gessner Rd,29.850259,-95.54501
Amax Valley LLC,Chuck,Kang,4870 Sunnyvale St,Dallas,TX,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Dallas F Wth,4870 Sunnyvale St,32.69558645,-96.77234110153523
Anesthesiologists For Children,Lisa,Kang,1935 Medical District Dr,Dallas,TX,(214) 456-1814,Physicians & Surgeons,Physicians & Surgeons,,"$723,000 ",Dallas F Wth,1935 Medical District Dr,32.80947825,-96.83754657660697
Ascension Seton Northwest,June-Ku,Kang,11111 Research Blvd # 300,Austin,TX,(512) 380-9200,Physicians & Surgeons,Physicians & Surgeons,Pulmonary & Respiratory Diseases,"$606,000 ",Austin,11111 Research Blvd,30.3699522,-97.7193589
Austin Childrens Chest Assoc,June-Ku,Kang,1301 B Jordan Blvd # 303,Austin,TX,(512) 380-9200,Physicians & Surgeons,Physicians & Surgeons,,"$606,000 ",Austin,1301 B Jordan Blvd,,
Bank Of America,Sean,Kang,2535 W Wheatland Rd,Dallas,TX,(972) 283-0108,Banks,Banks,Federal Reserve Banks,"$3,077,000 ",Dallas F Wth,2535 W Wheatland Rd,32.64808295,-96.86048158296438
BBV Capital Asset Holdings LLC,Irene,Kang,9525 Katy Fwy # 420,Houston,TX,Not Available,Holding Companies (Non-Bank),Holding Companies (Non-Bank),,"$3,015,000 ",Houston,9525 Katy Fwy,29.785149,-95.53152064179105
Beauty Outlet,Tammy,Kang,2729 New Boston Rd # 30,Texarkana,TX,(903) 832-4951,Beauty Salons-Equipment & Supplies (Whls),Beauty Salons-Equipment & Supplies (Whls),,"$5,421,000 ",Texarkana,2729 New Boston Rd,33.434879,-94.0797244
Beauty R US,Paul,Kang,13531 Montfort Dr # 105,Dallas,TX,(972) 788-5349,Beauty Salons,Beauty Salons,Cosmetics & Perfumes-Retail,"$247,000 ",Dallas F Wth,13531 Montfort Dr,32.93203060437093,-96.81304824709541
Beauty R Us,Paul,Kang,1031 E Pleasant Run Rd # 101,Desoto,TX,(972) 224-2229,Beauty Salons,Beauty Salons,Cosmetics & Perfumes-Retail,"$83,000 ",Dallas F Wth,1031 E Pleasant Run Rd,32.60406661625749,-96.83226661461202
Bert The Spider LLC,Jane,Kang,4031 Kirkpatrick Ln # 100,Flower Mound,TX,(972) 691-2700,Illustrators,Illustrators,,"$1,979,000 ",Dallas F Wth,4031 Kirkpatrick Ln,33.03975305063291,-97.04466702531646
Best Fabrics,Sung W,Kang,2651 Perth St,Dallas,TX,(972) 726-8888,Fabric Shops,Fabric Shops,Drapery & Curtain Cleaners,"$395,000 ",Dallas F Wth,2651 Perth St,32.87745788235026,-96.8861218122369
Better Living Med Supl & Eqpt,Young S,Kang,11500 N Stemmons Fwy # 126,Dallas,TX,(972) 982-2228,Physicians & Surgeons Equip & Supls-Whls,Physicians & Surgeons Equip & Supls-Whls,,$0 ,Dallas F Wth,11500 N Stemmons Fwy,32.9013074,-96.89703125844488
Bible Loving Church,Young S,Kang,11500 N Stemmons Fwy # 126,Dallas,TX,Not Available,Churches,Churches,,$0 ,Dallas F Wth,11500 N Stemmons Fwy,32.9013074,-96.89703125844488
Blue Motors,In M,Kang,11645 Denton Dr,Dallas,TX,(469) 534-0194,Automobile/Trucks Dealers-Used,Automobile/Trucks Dealers-Used,,"$4,290,000 ",Dallas F Wth,11645 Denton Dr,32.90564645,-96.89228244070014
Bradford Realty Svc Inc,James,Kang,600 Texas St # 100,Fort Worth,TX,(817) 921-8170,Real Estate,Real Estate,,"$2,243,000 ",Dallas F Wth,600 Texas St,32.74908335,-97.33416287518588
Brinks Home,Min,Kang,1990 Wittington Pl,Dallas,TX,(469) 391-4024,Security Systems,Security Systems,,$0 ,Dallas F Wth,1990 Wittington Pl,32.9151524,-96.9247436
Capital One,David,Kang,6161 Retail Rd,Dallas,TX,(214) 414-3882,Banks,Banks,,"$2,517,000 ",Dallas F Wth,6161 Retail Rd,32.86174507149498,-96.75433675720562
Children's Health Imaging Ctr,Lisa,Kang,17051 Dallas Pkwy # 200,Addison,TX,(972) 248-0077,Physicians & Surgeons,Physicians & Surgeons,,"$723,000 ",Dallas F Wth,17051 Dallas Pkwy,32.9837034,-96.8293098
Civitas Automotive Inc,Joseph,Kang,9050 Emnora Ln # B,Houston,TX,Not Available,Automobile Repairing & Service,Automobile Repairing & Service,,"$352,000 ",Houston,9050 Emnora Ln,29.81593,-95.520582
CMK Real Estate LLC,Casey M,Kang,1549 Campbell Rd,Houston,TX,Not Available,Real Estate Management,Real Estate Management,,"$580,000 ",Houston,1549 Campbell Rd,29.798266,-95.513978
Coca-Cola Bottling Co,Wendell,Kang,6445 Lemmon Ave,Dallas,TX,(214) 654-4100,Soft Drink Products-Manufacturers,Soft Drink Products-Manufacturers,Bottlers (Mfrs),"$38,069,000 ",Dallas F Wth,6445 Lemmon Ave,32.835454,-96.83321553923977
College Hunks Hauling Junk,Rich,Kang,405 Powerhouse # 502,Mckinney,TX,(972) 503-4606,Movers,Movers,Junk Removal,"$1,694,000 ",Dallas F Wth,405 Powerhouse,33.2306416,-96.6186165
Comet Cleaners,Han,Kang,7730 Forest Ln,Dallas,TX,(214) 692-5200,Cleaners,Cleaners,,"$559,000 ",Dallas F Wth,7730 Forest Ln,32.90962316739029,-96.77264485841795
Comfort Inn Early Brownwood,Selona,Kang,204 Early Blvd,Early,TX,(325) 641-3400,Hotels & Motels,Hotels & Motels,,"$1,105,000 ",Brownwood,204 Early Blvd,31.734285897349338,-98.96594496077866
Corner Pocket,Jennifer M,Kang,202 E Veterans Memorial Blvd,Killeen,TX,Not Available,Billiard Parlors,Billiard Parlors,,"$442,000 ",Killeen-Tmpl,202 E Veterans Memorial Blvd,31.117394591836735,-97.72982779591837
Costco Wholesale,Ku,Kang,8055 Churchill Way,Dallas,TX,(469) 680-7546,Wholesale Clubs,Wholesale Clubs,Department Stores,"$34,266,000 ",Dallas F Wth,8055 Churchill Way,32.920049,-96.76673739939025
Costco Wholesale,Ku,Kang,851 State Highway 121 Byp,Lewisville,TX,(469) 948-1026,Wholesale Clubs,Wholesale Clubs,Department Stores,"$34,427,000 ",Dallas F Wth,851 State Highway 121 Byp,,
Crafty Crab Restaurant,David,Kang,11105 Fondren Rd,Houston,TX,(713) 820-6888,Restaurants,Restaurants,,$0 ,Houston,11105 Fondren Rd,29.659032461538462,-95.5083476923077
D E I Development Inc,Jin G,Kang,409 Foster Ln,Lewisville,TX,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Dallas F Wth,409 Foster Ln,33.02257574310933,-96.99943132644475
Daewoo Ship Bldg-Mrne Engrng,Sue,Kang,950 Threadneedle St # 270,Houston,TX,(281) 679-1322,Industrial Equipment & Supplies (Whls),Industrial Equipment & Supplies (Whls),,"$5,526,000 ",Houston,950 Threadneedle St,29.782629364034758,-95.60942195894587
Dairy Farmers Of America,John,Kang,3500 Wm D Tate Ave # 100,Grapevine,TX,(817) 410-4500,Dairy Products-Wholesale,Dairy Products-Wholesale,Dairies (Milk),"$57,468,000 ",Dallas F Wth,3500 Wm D Tate Ave,32.90478732317007,-97.09999484239285
Dallas Korean Trade Assn,David,Kang,11500 N Stemmons Fwy # 144,Dallas,TX,Not Available,Associations,Associations,,$0 ,Dallas F Wth,11500 N Stemmons Fwy,32.9013074,-96.89703125844488
Daniels-Lovelady Architecture,Elizabeth,Kang,669 Airport Fwy # 101,Hurst,TX,(817) 510-6730,Architects,Architects,Architects & Builders Service,"$686,000 ",Dallas F Wth,669 Airport Fwy,32.8387237,-97.1829879
Dasi Sushi & Asian Cuisine,Jeomsook,Kang,1902 Chico Hwy,Bridgeport,TX,(940) 683-3597,Restaurants,Restaurants,,$0 ,Dallas F Wth,1902 Chico Hwy,33.217473733552666,-97.76796946661699
Dell Children's Med Group,June-Ku,Kang,6811 Austin Ctr Blvd # 400,Austin,TX,(512) 380-9200,Pulmonary & Respiratory Diseases,Pulmonary & Respiratory Diseases,Physicians & Surgeons,"$202,000 ",Austin,6811 Austin Ctr Blvd,30.350713,-97.750423
Dino K Shoe Repair-Alterations,Hyun,Kang,2129 W Parker Rd,Plano,TX,(972) 596-8209,Shoe & Boot Repairing,Shoe & Boot Repairing,,"$134,000 ",Dallas F Wth,2129 W Parker Rd,33.0414139,-96.7354058
Donut Paradise,Sun,Kang,1104 N Highway 377 # 203,Roanoke,TX,(817) 961-0655,Restaurants,Restaurants,Doughnuts,"$104,000 ",Dallas F Wth,1104 N Highway 377,33.009116000000006,-97.22215859771113
E-Z Auto Title & Postal,Kanwaljit,Kang,12837 Westheimer Rd,Houston,TX,(281) 556-0044,Title Companies,Title Companies,,"$315,000 ",Houston,12837 Westheimer Rd,29.73609776633166,-95.61337386432162
Eastern Chi LLC,Zhengfu,Kang,10312 Burtrum Dr,Fort Worth,TX,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Dallas F Wth,10312 Burtrum Dr,,
Empyrean Benefit Solutions,Hyungoo,Kang,3010 Briarpark Dr # 8000,Houston,TX,(281) 768-2900,Employee Benefit Consultants,Employee Benefit Consultants,Financial Advisory Services,$0 ,Houston,3010 Briarpark Dr,29.73663116222778,-95.54847667837193
Energy Transfer Partners,Jinsook,Kang,1870 Mykawa Rd,Pearland,TX,(817) 389-2850,Pipe Line Companies,Pipe Line Companies,Energy Management Systems & Products,"$18,893,000 ",Houston,1870 Mykawa Rd,29.574202267676768,-95.29472003030303
